ID,ID_EXT,NAME,Base_HP_7,Base_Attack_7,Base_Defense_7,Base_Sp_Attack_7,Base_Sp_Defense_7,Base_Speed_7,Base_Total_7,Base_Average_7,ID,Pokémon,Base_HP_1,Base_Attack_1,Base_Defense_1,Base_Speed_1,Base_Special_1,Base_Total_1,Base_Average_1,ID,Pokémon,Base_HP_2_5,Base_Attack_2_5,Base_Defense_2_5,Base_Sp_Attack_2_5,Base_Sp_Defense_2_5,Base_Speed_2_5,Base_Total_2_5,Base_Average_2_5,ID,ID_EX,Name,Base_HP_6,Base_Attack_6,Base_Defense_6,Base_Sp_Attack_6,Base_Sp_Defense_6,Base_Speed_6,Base_Total_6,Base_Average_6
1,1,Bulbasaur,45,49,49,65,65,45,318,53,1,Bulbasaur,45,49,49,45,65,253,50.6,1,Bulbasaur,45,49,49,65,65,45,318,53,1,1,Bulbasaur,45,49,49,65,65,45,318,53
2,2,Ivysaur,60,62,63,80,80,60,405,67.5,2,Ivysaur,60,62,63,60,80,325,65,2,Ivysaur,60,62,63,80,80,60,405,67.5,2,2,Ivysaur,60,62,63,80,80,60,405,67.5
3,3,Venusaur,80,82,83,100,100,80,525,87.5,3,Venusaur,80,82,83,80,100,425,85,3,Venusaur,80,82,83,100,100,80,525,87.5,3,3,Venusaur,80,82,83,100,100,80,525,87.5
3,003M,Venusaur (Mega Venusaur),80,100,123,122,120,80,625,104.17,4,Charmander,39,52,43,65,50,249,49.8,4,Charmander,39,52,43,60,50,65,309,51.5,3,003M,Venusaur (Mega Venusaur),80,100,123,122,120,80,625,104.17
4,4,Charmander,39,52,43,60,50,65,309,51.5,5,Charmeleon,58,64,58,80,65,325,65,5,Charmeleon,58,64,58,80,65,80,405,67.5,4,4,Charmander,39,52,43,60,50,65,309,51.5
5,5,Charmeleon,58,64,58,80,65,80,405,67.5,6,Charizard,78,84,78,100,85,425,85,6,Charizard,78,84,78,109,85,100,534,89,5,5,Charmeleon,58,64,58,80,65,80,405,67.5
6,6,Charizard,78,84,78,109,85,100,534,89,7,Squirtle,44,48,65,43,50,250,50,7,Squirtle,44,48,65,50,64,43,314,52.33,6,6,Charizard,78,84,78,109,85,100,534,89
6,006MX,Charizard (Mega Charizard X),78,130,111,130,85,100,634,105.67,8,Wartortle,59,63,80,58,65,325,65,8,Wartortle,59,63,80,65,80,58,405,67.5,6,006MX,Charizard (Mega Charizard X),78,130,111,130,85,100,634,105.67
6,006MY,Charizard (Mega Charizard Y),78,104,78,159,115,100,634,105.67,9,Blastoise,79,83,100,78,85,425,85,9,Blastoise,79,83,100,85,105,78,530,88.33,6,006MY,Charizard (Mega Charizard Y),78,104,78,159,115,100,634,105.67
7,7,Squirtle,44,48,65,50,64,43,314,52.33,10,Caterpie,45,30,35,45,20,175,35,10,Caterpie,45,30,35,20,20,45,195,32.5,7,7,Squirtle,44,48,65,50,64,43,314,52.33
8,8,Wartortle,59,63,80,65,80,58,405,67.5,11,Metapod,50,20,55,30,25,180,36,11,Metapod,50,20,55,25,25,30,205,34.17,8,8,Wartortle,59,63,80,65,80,58,405,67.5
9,9,Blastoise,79,83,100,85,105,78,530,88.33,12,Butterfree,60,45,50,70,80,305,61,12,Butterfree,60,45,50,80,80,70,385,64.17,9,9,Blastoise,79,83,100,85,105,78,530,88.33
9,009M,Blastoise (Mega Blastoise),79,103,120,135,115,78,630,105,13,Weedle,40,35,30,50,20,175,35,13,Weedle,40,35,30,20,20,50,195,32.5,9,009M,Blastoise (Mega Blastoise),79,103,120,135,115,78,630,105
10,10,Caterpie,45,30,35,20,20,45,195,32.5,14,Kakuna,45,25,50,35,25,180,36,14,Kakuna,45,25,50,25,25,35,205,34.17,10,10,Caterpie,45,30,35,20,20,45,195,32.5
11,11,Metapod,50,20,55,25,25,30,205,34.17,15,Beedrill,65,80,40,75,45,305,61,15,Beedrill,65,80,40,45,80,75,385,64.17,11,11,Metapod,50,20,55,25,25,30,205,34.17
12,12,Butterfree,60,45,50,90,80,70,395,65.83,16,Pidgey,40,45,40,56,35,216,43.2,16,Pidgey,40,45,40,35,35,56,251,41.83,12,12,Butterfree,60,45,50,90,80,70,395,65.83
13,13,Weedle,40,35,30,20,20,50,195,32.5,17,Pidgeotto,63,60,55,71,50,299,59.8,17,Pidgeotto,63,60,55,50,50,71,349,58.17,13,13,Weedle,40,35,30,20,20,50,195,32.5
14,14,Kakuna,45,25,50,25,25,35,205,34.17,18,Pidgeot,83,80,75,91,70,399,79.8,18,Pidgeot,83,80,75,70,70,91,469,78.17,14,14,Kakuna,45,25,50,25,25,35,205,34.17
15,15,Beedrill,65,90,40,45,80,75,395,65.83,19,Rattata,30,56,35,72,25,218,43.6,19,Rattata,30,56,35,25,35,72,253,42.17,15,15,Beedrill,65,90,40,45,80,75,395,65.83
15,015M,Beedrill (Mega Beedrill),65,150,40,15,80,145,495,82.5,20,Raticate,55,81,60,97,50,343,68.6,20,Raticate,55,81,60,50,70,97,413,68.83,15,015M,Beedrill (Mega Beedrill),65,150,40,15,80,145,495,82.5
16,16,Pidgey,40,45,40,35,35,56,251,41.83,21,Spearow,40,60,30,70,31,231,46.2,21,Spearow,40,60,30,31,31,70,262,43.67,16,16,Pidgey,40,45,40,35,35,56,251,41.83
17,17,Pidgeotto,63,60,55,50,50,71,349,58.17,22,Fearow,65,90,65,100,61,381,76.2,22,Fearow,65,90,65,61,61,100,442,73.67,17,17,Pidgeotto,63,60,55,50,50,71,349,58.17
18,18,Pidgeot,83,80,75,70,70,101,479,79.83,23,Ekans,35,60,44,55,40,234,46.8,23,Ekans,35,60,44,40,54,55,288,48,18,18,Pidgeot,83,80,75,70,70,101,479,79.83
18,018M,Pidgeot (Mega Pidgeot),83,80,80,135,80,121,579,96.5,24,Arbok,60,85,69,80,65,359,71.8,24,Arbok,60,85,69,65,79,80,438,73,18,018M,Pidgeot (Mega Pidgeot),83,80,80,135,80,121,579,96.5
19,19,Rattata,30,56,35,25,35,72,253,42.17,25,Pikachu,35,55,30,90,50,260,52,25,Pikachu,35,55,30,50,40,90,300,50,19,19,Rattata,30,56,35,25,35,72,253,42.17
19,019A,Rattata (Alolan Rattata),30,56,35,25,35,72,253,42.17,26,Raichu,60,90,55,100,90,395,79,26,Raichu,60,90,55,90,80,100,475,79.17,20,20,Raticate,55,81,60,50,70,97,413,68.83
20,20,Raticate,55,81,60,50,70,97,413,68.83,27,Sandshrew,50,75,85,40,30,280,56,27,Sandshrew,50,75,85,20,30,40,300,50,21,21,Spearow,40,60,30,31,31,70,262,43.67
20,020A,Raticate (Alolan Raticate),75,71,70,40,80,77,413,68.83,28,Sandslash,75,100,110,65,55,405,81,28,Sandslash,75,100,110,45,55,65,450,75,22,22,Fearow,65,90,65,61,61,100,442,73.67
21,21,Spearow,40,60,30,31,31,70,262,43.67,29,Nidoran♀,55,47,52,41,40,235,47,29,Nidoran♀,55,47,52,40,40,41,275,45.83,23,23,Ekans,35,60,44,40,54,55,288,48
22,22,Fearow,65,90,65,61,61,100,442,73.67,30,Nidorina,70,62,67,56,55,310,62,30,Nidorina,70,62,67,55,55,56,365,60.83,24,24,Arbok,60,85,69,65,79,80,438,73
23,23,Ekans,35,60,44,40,54,55,288,48,31,Nidoqueen,90,82,87,76,75,410,82,31,Nidoqueen,90,82,87,75,85,76,495,82.5,25,25,Pikachu,35,55,40,50,50,90,320,53.33
24,24,Arbok,60,95,69,65,79,80,448,74.67,32,Nidoran♂,46,57,40,50,40,233,46.6,32,Nidoran♂,46,57,40,40,40,50,273,45.5,26,26,Raichu,60,90,55,90,80,110,485,80.83
25,25,Pikachu,35,55,40,50,50,90,320,53.33,33,Nidorino,61,72,57,65,55,310,62,33,Nidorino,61,72,57,55,55,65,365,60.83,27,27,Sandshrew,50,75,85,20,30,40,300,50
25,025Pa,Pikachu (Partner Pikachu),45,80,50,75,60,120,430,71.67,34,Nidoking,81,92,77,85,75,410,82,34,Nidoking,81,92,77,85,75,85,495,82.5,28,28,Sandslash,75,100,110,45,55,65,450,75
26,26,Raichu,60,90,55,90,80,110,485,80.83,35,Clefairy,70,45,48,35,60,258,51.6,35,Clefairy,70,45,48,60,65,35,323,53.83,29,29,Nidoran♀,55,47,52,40,40,41,275,45.83
26,026A,Raichu (Alolan Raichu),60,85,50,95,85,110,485,80.83,36,Clefable,95,70,73,60,85,383,76.6,36,Clefable,95,70,73,85,90,60,473,78.83,30,30,Nidorina,70,62,67,55,55,56,365,60.83
27,27,Sandshrew,50,75,85,20,30,40,300,50,37,Vulpix,38,41,40,65,65,249,49.8,37,Vulpix,38,41,40,50,65,65,299,49.83,31,31,Nidoqueen,90,92,87,75,85,76,505,84.17
27,027A,Sandshrew (Alolan Sandshrew),50,75,90,10,35,40,300,50,38,Ninetales,73,76,75,100,100,424,84.8,38,Ninetales,73,76,75,81,100,100,505,84.17,32,32,Nidoran♂,46,57,40,40,40,50,273,45.5
28,28,Sandslash,75,100,110,45,55,65,450,75,39,Jigglypuff,115,45,20,20,25,225,45,39,Jigglypuff,115,45,20,45,25,20,270,45,33,33,Nidorino,61,72,57,55,55,65,365,60.83
28,028A,Sandslash (Alolan Sandslash),75,100,120,25,65,65,450,75,40,Wigglytuff,140,70,45,45,50,350,70,40,Wigglytuff,140,70,45,75,50,45,425,70.83,34,34,Nidoking,81,102,77,85,75,85,505,84.17
29,29,Nidoran♀,55,47,52,40,40,41,275,45.83,41,Zubat,40,45,35,55,40,215,43,41,Zubat,40,45,35,30,40,55,245,40.83,35,35,Clefairy,70,45,48,60,65,35,323,53.83
30,30,Nidorina,70,62,67,55,55,56,365,60.83,42,Golbat,75,80,70,90,75,390,78,42,Golbat,75,80,70,65,75,90,455,75.83,36,36,Clefable,95,70,73,95,90,60,483,80.5
31,31,Nidoqueen,90,92,87,75,85,76,505,84.17,43,Oddish,45,50,55,30,75,255,51,43,Oddish,45,50,55,75,65,30,320,53.33,37,37,Vulpix,38,41,40,50,65,65,299,49.83
32,32,Nidoran♂,46,57,40,40,40,50,273,45.5,44,Gloom,60,65,70,40,85,320,64,44,Gloom,60,65,70,85,75,40,395,65.83,38,38,Ninetales,73,76,75,81,100,100,505,84.17
33,33,Nidorino,61,72,57,55,55,65,365,60.83,45,Vileplume,75,80,85,50,100,390,78,45,Vileplume,75,80,85,100,90,50,480,80,39,39,Jigglypuff,115,45,20,45,25,20,270,45
34,34,Nidoking,81,102,77,85,75,85,505,84.17,46,Paras,35,70,55,25,55,240,48,46,Paras,35,70,55,45,55,25,285,47.5,40,40,Wigglytuff,140,70,45,85,50,45,435,72.5
35,35,Clefairy,70,45,48,60,65,35,323,53.83,47,Parasect,60,95,80,30,80,345,69,47,Parasect,60,95,80,60,80,30,405,67.5,41,41,Zubat,40,45,35,30,40,55,245,40.83
36,36,Clefable,95,70,73,95,90,60,483,80.5,48,Venonat,60,55,50,45,40,250,50,48,Venonat,60,55,50,40,55,45,305,50.83,42,42,Golbat,75,80,70,65,75,90,455,75.83
37,37,Vulpix,38,41,40,50,65,65,299,49.83,49,Venomoth,70,65,60,90,90,375,75,49,Venomoth,70,65,60,90,75,90,450,75,43,43,Oddish,45,50,55,75,65,30,320,53.33
37,037A,Vulpix (Alolan Vulpix),38,41,40,50,65,65,299,49.83,50,Diglett,10,55,25,95,45,230,46,50,Diglett,10,55,25,35,45,95,265,44.17,44,44,Gloom,60,65,70,85,75,40,395,65.83
