Classification,Name,Type,Ability,Form_Type,Form_Ability,Item,ID,ID_EXT,NAME
Mega,Venusaur, Grass  Poison ,"Overgrow
Chlorophyll (Hidden)", Grass  Poison ,Thick Fat,"
Venusaurite",1,1,Bulbasaur
Mega,Charizard, Fire  Flying ,"Blaze
Solar Power (Hidden)", Fire  Dragon ,Tough Claws,"
Charizardite X",2,2,Ivysaur
Mega,Charizard, Fire  Flying ,"Blaze
Solar Power (Hidden)", Fire  Flying ,Drought,"
Charizardite Y",3,3,Venusaur
Mega,Blastoise, Water ,"Torrent
Rain Dish (Hidden)", Water ,Mega Launcher,"
Blastoisinite",3,003M,Venusaur (Mega Venusaur)
Mega,Alakazam, Psychic ,"Synchronize or
Inner Focus
Magic Guard (Hidden)", Psychic ,Trace,"
Alakazite",4,4,Charmander
Mega,Gengar, Ghost  Poison ,"Levitate (Generation VI)
Cursed Body (Generation VII)", Ghost  Poison ,Shadow Tag,"
Gengarite",5,5,Charmeleon
Mega,Kangaskhan, Normal ,"Early Bird or
Scrappy
Inner Focus (Hidden)", Normal ,Parental Bond,"
Kangaskhanite",6,6,Charizard
Mega,Pinsir, Bug ,"Hyper Cutter or
Mold Breaker
Moxie (Hidden)", Bug  Flying ,Aerilate,"
Pinsirite",6,006MX,Charizard (Mega Charizard X)
Mega,Gyarados, Water  Flying ,"Intimidate
Moxie (Hidden)", Water  Dark ,Mold Breaker,"
Gyaradosite",6,006MY,Charizard (Mega Charizard Y)
Mega,Aerodactyl, Rock  Flying ,"Rock Head or
Pressure
Unnerve (Hidden)", Rock  Flying ,Tough Claws,"
Aerodactylite",7,7,Squirtle
Mega,Mewtwo, Psychic ,"Pressure
Unnerve (Hidden)", Psychic  Fighting ,Steadfast,"
Mewtwonite X",8,8,Wartortle
Mega,Mewtwo, Psychic ,"Pressure
Unnerve (Hidden)", Psychic ,Insomnia,"
Mewtwonite Y",9,9,Blastoise
Mega,Ampharos, Electric ,"Static
Plus (Hidden)", Electric  Dragon ,Mold Breaker,"
Ampharosite",9,009M,Blastoise (Mega Blastoise)
Mega,Scizor, Bug  Steel ,"Swarm or
Technician
Light Metal (Hidden)", Bug  Steel ,Technician,"
Scizorite",10,10,Caterpie
Mega,Heracross, Bug  Fighting ,"Swarm or
Guts
Moxie (Hidden)", Bug  Fighting ,Skill Link,"
Heracronite",11,11,Metapod
Mega,Houndoom, Dark  Fire ,"Early Bird or
Flash Fire
Unnerve (Hidden)", Dark  Fire ,Solar Power,"
Houndoominite",12,12,Butterfree
Mega,Tyranitar, Rock  Dark ,"Sand Stream
Unnerve (Hidden)", Rock  Dark ,Sand Stream,"
Tyranitarite",13,13,Weedle
Mega,Blaziken, Fire  Fighting ,"Blaze
Speed Boost (Hidden)", Fire  Fighting ,Speed Boost,"
Blazikenite",14,14,Kakuna
Mega,Gardevoir, Psychic  Fairy ,"Synchronize or
Trace
Telepathy (Hidden)", Psychic  Fairy ,Pixilate,"
Gardevoirite",15,15,Beedrill
Mega,Mawile, Steel  Fairy ,"Hyper Cutter or
Intimidate
Sheer Force (Hidden)", Steel  Fairy ,Huge Power,"
Mawilite",15,015M,Beedrill (Mega Beedrill)
Mega,Aggron, Steel  Rock ,"Sturdy or
Rock Head
Heavy Metal (Hidden)", Steel ,Filter,"
Aggronite",16,16,Pidgey
Mega,Medicham, Fighting  Psychic ,"Pure Power
Telepathy (Hidden)", Fighting  Psychic ,Pure Power,"
Medichamite",17,17,Pidgeotto
Mega,Manectric, Electric ,"Static or
Lightning Rod
Minus (Hidden)", Electric ,Intimidate,"
Manectite",18,18,Pidgeot
Mega,Banette, Ghost ,"Insomnia or
Frisk
Cursed Body (Hidden)", Ghost ,Prankster,"
Banettite",18,018M,Pidgeot (Mega Pidgeot)
Mega,Absol, Dark ,"Pressure or
Super Luck
Justified (Hidden)", Dark ,Magic Bounce,"
Absolite",19,19,Rattata
Mega,Garchomp, Dragon  Ground ,"Sand Veil
Rough Skin (Hidden)", Dragon  Ground ,Sand Force,"
Garchompite",19,019A,Rattata (Alolan Rattata)
Mega,Lucario, Fighting  Steel ,"Steadfast or
Inner Focus
Justified (Hidden)", Fighting  Steel ,Adaptability,"
Lucarionite",20,20,Raticate
Mega,Abomasnow, Grass  Ice ,"Snow Warning
Soundproof (Hidden)", Grass  Ice ,Snow Warning,"
Abomasite",20,020A,Raticate (Alolan Raticate)
,,,,,,,21,21,Spearow
,,,,,,,22,22,Fearow
Mega,Beedrill, Bug  Poison ,"Swarm
Sniper (Hidden)", Bug  Poison ,Adaptability,"
Beedrillite",23,23,Ekans
Mega,Pidgeot, Normal  Flying ,"Keen Eye or
Tangled Feet
Big Pecks (Hidden)", Normal  Flying ,No Guard,"
Pidgeotite",24,24,Arbok
Mega,Slowbro, Water  Psychic ,"Oblivious or
Own Tempo
Regenerator (Hidden)", Water  Psychic ,Shell Armor,"
Slowbronite",25,25,Pikachu
Mega,Steelix, Steel  Ground ,"Rock Head or
Sturdy
Sheer Force (Hidden)", Steel  Ground ,Sand Force,"
Steelixite",25,025Pa,Pikachu (Partner Pikachu)
Mega,Sceptile, Grass ,"Overgrow
Unburden (Hidden)", Grass  Dragon ,Lightning Rod,"
Sceptilite",26,26,Raichu
Mega,Swampert, Water  Ground ,"Torrent
Damp (Hidden)", Water  Ground ,Swift Swim,"
Swampertite",26,026A,Raichu (Alolan Raichu)
Mega,Sableye, Dark  Ghost ,"Keen Eye or
Stall
Prankster (Hidden)", Dark  Ghost ,Magic Bounce,"
Sablenite",27,27,Sandshrew
Mega,Sharpedo, Water  Dark ,"Rough Skin
Speed Boost (Hidden)", Water  Dark ,Strong Jaw,"
Sharpedonite",27,027A,Sandshrew (Alolan Sandshrew)
Mega,Camerupt, Fire  Ground ,"Magma Armor or
Solid Rock
Anger Point (Hidden)", Fire  Ground ,Sheer Force,"
Cameruptite",28,28,Sandslash
Mega,Altaria, Dragon  Flying ,"Natural Cure
Cloud Nine (Hidden)", Dragon  Fairy ,Pixilate,"
Altarianite",28,028A,Sandslash (Alolan Sandslash)
Mega,Glalie, Ice ,"Inner Focus or
Ice Body
Moody (Hidden)", Ice ,Refrigerate,"
Glalitite",29,29,Nidoran♀
Mega,Salamence, Dragon  Flying ,"Intimidate
Moxie (Hidden)", Dragon  Flying ,Aerilate,"
Salamencite",30,30,Nidorina
Mega,Metagross, Steel  Psychic ,"Clear Body
Light Metal (Hidden)", Steel  Psychic ,Tough Claws,"
Metagrossite",31,31,Nidoqueen
Mega,Latias, Dragon  Psychic ,Levitate, Dragon  Psychic ,Levitate,"
Latiasite",32,32,Nidoran♂
Mega,Latios, Dragon  Psychic ,Levitate, Dragon  Psychic ,Levitate,"
Latiosite",33,33,Nidorino
Mega,Rayquaza, Dragon  Flying ,Air Lock, Dragon  Flying ,Delta Stream,"
None*",34,34,Nidoking
Mega,Lopunny, Normal ,"Cute Charm or
Klutz
Limber (Hidden)", Normal  Fighting ,Scrappy,"
Lopunnite",35,35,Clefairy
Mega,Gallade, Psychic  Fighting ,"Steadfast
Justified (Hidden)", Psychic  Fighting ,Inner Focus,"
Galladite",36,36,Clefable
Mega,Audino, Normal ,"Healer or
Regenerator
Klutz (Hidden)", Normal  Fairy ,Healer,"
Audinite",37,37,Vulpix
Mega,Diancie, Rock  Fairy ,Clear Body, Rock  Fairy ,Magic Bounce,"
Diancite",37,037A,Vulpix (Alolan Vulpix)
,,,,,,,38,38,Ninetales
Primal,Kyogre, Water ,Drizzle, Water ,Primordial Sea,"
Blue Orb",38,038A,Ninetales (Alolan Ninetales)
Primal,Groudon, Ground ,Drought, Ground  Fire ,Desolate Land,"
Red Orb",39,39,Jigglypuff
,,,,,,,40,40,Wigglytuff
Bond,Greninja, Water  Dark ,Battle Bond, Water  Dark ,Battle Bond,,41,41,Zubat
,,,,,,,42,42,Golbat
Regional,Rattata, Normal ,"Run Away or Guts
Hustle (Hidden)", Dark  Normal ,"Gluttony or Hustle
Thick Fat (Hidden)",,43,43,Oddish
Regional,Raticate, Normal ,"Run Away or Guts
Hustle (Hidden)", Dark  Normal ,"Gluttony or Hustle
Thick Fat (Hidden)",,44,44,Gloom
Regional,Raichu, Electric ,"Static
Lightning Rod (Hidden)", Electric  Psychic ,Surge Surfer,,45,45,Vileplume
Regional,Sandshrew, Ground ,"Sand Veil
Sand Rush (Hidden)", Ice  Steel ,"Snow Cloak
Slush Rush (Hidden)",,46,46,Paras
Regional,Sandslash, Ground ,"Sand Veil
Sand Rush (Hidden)", Ice  Steel ,"Snow Cloak
Slush Rush (Hidden)",,47,47,Parasect
Regional,Vulpix, Fire ,"Flash Fire
Drought (Hidden)", Ice ,"Snow Cloak
Snow Warning (Hidden)",,48,48,Venonat
Regional,Ninetales, Fire ,"Flash Fire
Drought (Hidden)", Ice  Fairy ,"Snow Cloak
Snow Warning (Hidden)",,49,49,Venomoth
Regional,Diglett, Ground ,"Sand Veil or Arena Trap
Sand Force (Hidden)", Ground  Steel ,"Sand Veil or Tangling Hair
Sand Force (Hidden)",,50,50,Diglett
Regional,Dugtrio, Ground ,"Sand Veil or Arena Trap
Sand Force (Hidden)", Ground  Steel ,"Sand Veil or Tangling Hair
Sand Force (Hidden)",,50,050A,Diglett (Alolan Diglett)
Regional,Meowth, Normal ,"Pickup or Technician
Unnerve (Hidden)", Dark ,"Pickup or Technician
Rattled (Hidden)",,51,51,Dugtrio
Regional,Persian, Normal ,"Limber or Technician
Unnerve (Hidden)", Dark ,"Fur Coat or Technician
Rattled (Hidden)",,51,051A,Dugtrio (Alolan Dugtrio)
