Ldex,ID,ID_Ext,Name,Type,Type2,Female,Male,ID,Name,Unbreedable,ID,Name,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,ID_Ext,Name,WeightLbs,WeightKg,ID,Name,Experience type,Body,ID,ID_Ext,Name,Type1,Type2,Color,Name,ID,ID,ID_Ext,Name,Ability 1,Ability 2,Hidden,EvolutionLevel,ID,Name,ID,Name,Base friendship,ID,Name,Call_Rate_SM,Call_Rate_USUM,Habitat,Page,Ndex,Name,Type,Type2,Group,ID,Name,Type,Type2
#001,#001,1,Bulbasaur,Grass,Poison,0,1,32,Nidoran♂,,1,Bulbasaur,Monster,Grass,20,5120,5376,5355,5140,5120,92,Gastly,0.2 lbs.,0.1 kg,1,Bulbasaur,Medium Slow, Pokémon consisting of only a head,,,,,,Red,Charmander,4,1,1,Bulbasaur,Overgrow,,Chlorophyll,7,#010,Caterpie,1,Bulbasaur,70,10,Caterpie,15,15, Grassland Pokémon,Page 1,#019,Rattata,Normal,,Group A,,,,
#002,#002,2,Ivysaur,Grass,Poison,0,1,33,Nidorino,,2,Ivysaur,Monster,Grass,20,5120,5376,5355,5140,5120,93,Haunter,0.2 lbs.,0.1 kg,2,Ivysaur,Medium Slow, Pokémon consisting of only a head,#090,90,Shellder,Water,,Red,Charmeleon,5,2,2,Ivysaur,Overgrow,,Chlorophyll,7,#013,Weedle,2,Ivysaur,70,11,Metapod,15,15, Grassland Pokémon,Page 1,#020,Raticate,Normal,,Group A,#010,Caterpie,Bug,
#003,#003,3,Venusaur,Grass,Poison,0,1,34,Nidoking,,3,Venusaur,Monster,Grass,20,5120,5376,5355,5140,5120,669,Flabébé,0.2 lbs.,0.1 kg,3,Venusaur,Medium Slow, Pokémon consisting of only a head,#091,91,Cloyster,Water,Ice,Red,"Charizard
Normal and
Mega Charizard Y",6,3,3,Venusaur,Overgrow,,Chlorophyll,7,#265,Wurmple,3,Venusaur,70,12,Butterfree,0,0, Grassland Pokémon,Page 1,#161,Sentret,Normal,,Group A,#011,Metapod,Bug,
#004,#004,4,Charmander,Fire,,0,1,106,Hitmonlee,,4,Charmander,Monster,Dragon,20,5120,5376,5355,5140,5120,789,Cosmog,0.2 lbs.,0.1 kg,5,Charmeleon,Medium Slow, Pokémon consisting of only a head,#092,92,Gastly,Ghost,Poison,Red,Vileplume,45,3,003M,Mega Venusaur,Thick Fat,,,9,#664,Scatterbug,4,Charmander,70,19,Rattata,9,9, Grassland Pokémon,Page 1,#162,Furret,Normal,,Group A,#012,Butterfree,Bug,Flying
#005,#005,5,Charmeleon,Fire,,0,1,107,Hitmonchan,,5,Charmeleon,Monster,Dragon,20,5120,5376,5355,5140,5120,798,Kartana,0.2 lbs.,0.1 kg,6,Charizard,Medium Slow, Pokémon consisting of only a head,#100,100,Voltorb,Electric,,Red,Paras,46,4,4,Charmander,Blaze,,Solar Power,10,#011,Metapod,5,Charmeleon,70,20,Raticate,6,6, Grassland Pokémon,Page 2,#263,Zigzagoon,Normal,,Group A,#013,Weedle,Bug,Poison
#006,#006,6,Charizard,Fire,Flying,0,1,128,Tauros,,6,Charizard,Monster,Dragon,20,5120,5376,5355,5140,5120,742,Cutiefly,0.4 lbs.,0.2 kg,7,Squirtle,Medium Slow, Pokémon consisting of only a head,#101,101,Electrode,Electric,,Red,Parasect,47,5,5,Charmeleon,Blaze,,Solar Power,10,#014,Kakuna,6,Charizard,70,21,Spearow,9,9, Grassland Pokémon,Page 2,#264,Linoone,Normal,,Group A,#014,Kakuna,Bug,Poison
#007,#007,7,Squirtle,Water,,0,1,237,Hitmontop,,7,Squirtle,Monster,Water 1,20,5120,5376,5355,5140,5120,479,Rotom,0.7 lbs.,0.3 kg,10,Caterpie,Medium Fast, Pokémon consisting of only a head,#109,109,Koffing,Poison,,Red,Krabby,98,6,6,Charizard,Blaze,,Solar Power,10,#266,Silcoon,7,Squirtle,70,22,Fearow,6,6, Grassland Pokémon,Page 2,#261,Poochyena,Dark,,Group A,#015,Beedrill,Bug,Poison
#008,#008,8,Wartortle,Water,,0,1,313,Volbeat,,8,Wartortle,Monster,Water 1,20,5120,5376,5355,5140,5120,480,Uxie,0.7 lbs.,0.3 kg,11,Metapod,Medium Fast, Pokémon consisting of only a head,#132,132,Ditto,Normal,,Red,Kingler,99,6,006MX,Mega Charizard X,Tough Claws,,,10,#268,Cascoon,8,Wartortle,70,23,Ekans,—,9, Grassland Pokémon,Page 2,#262,Mightyena,Dark,,Group A,#046,Paras,Bug,Grass
#009,#009,9,Blastoise,Water,,0,1,414,Mothim,,9,Blastoise,Monster,Water 1,20,5120,5376,5355,5140,5120,481,Mesprit,0.7 lbs.,0.3 kg,12,Butterfree,Medium Fast, Pokémon consisting of only a head,#191,191,Sunkern,Grass,,Red,Voltorb,100,6,006MY,Mega Charizard Y,Drought,,,10,#401,Kricketot,9,Blastoise,70,24,Arbok,—,6, Grassland Pokémon,Page 3,#029,Nidoran♀,Poison,,Group A,#047,Parasect,Bug,Grass
#010,#010,10,Caterpie,Bug,,0,1,475,Gallade,,10,Caterpie,Bug,—,15,3840,4096,4080,3855,3840,482,Azelf,0.7 lbs.,0.3 kg,14,Kakuna,Medium Fast, Pokémon consisting of only a head,#200,200,Misdreavus,Ghost,,Red,Electrode,101,7,7,Squirtle,Torrent,,Rain Dish,12,#665,Spewpa,10,Caterpie,70,25,Pikachu,6,6, Grassland Pokémon,Page 3,#030,Nidorina,Poison,,Group A,#048,Venonat,Bug,Poison
