ID,Name,Effect,Generation,Single,Dual,Hidden,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
,Cacophony,Avoids sound-based moves.,3,0,0,0,そうおん,Sō On,Cacophonie,Energieaufladung,Cacofonia,Cacofonía,,,,
1,Stench,"By releasing stench when attacking, this Pokémon may cause the target to flinch.",3,0,6,1,あくしゅう,Akushū,Puanteur,Duftnote,Tanfo,Hedor,악취,Akchwi,惡臭 / 恶臭,Èchòu / Okchau
2,Drizzle,The Pokémon makes it rain when it enters a battle.,3,1,1,1,あめふらし,Amefurashi,Crachin,Niesel,Piovischio,Llovizna,잔비,Janbi,降雨,Jiàngyǔ / Gongyúh
3,Speed Boost,Its Speed stat is boosted every turn.,3,2,2,8,かそく,Kasoku,Turbo,Temposchub,Acceleratore,Impulso,가속,Gasok,加速,Jiāsù / Gāchūk
4,Battle Armor,Hard armor protects the Pokémon from critical hits.,3,3,4,2,カブトアーマー,Kabuto Armor,Armurbaston,Kampfpanzer,Lottascudo,Armadura Batalla*,전투 무장,Jeontu Mujang,戰鬥盔甲 / 战斗盔甲,Zhàndòu Kuījiǎ / Jindau Kwāigaap
5,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",3,6,28,7,がんじょう,Ganjō,Fermeté,Robustheit,Vigore,Robustez,옹골참,Onggolcham,結實 / 结实,Jiēshi / Gitsaht
6,Damp,Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.,3,0,8,10,しめりけ,Shimerike,Moiteur,Feuchtigkeit,Umidità,Humedad,습기,Seupgi,濕氣 / 湿气,Shīqì / Sāphei
7,Limber,Its limber body protects the Pokémon from paralysis.,3,1,9,2,じゅうなん,Jūnan,Échauffement,Flexibilität,Scioltezza,Flexibilidad,유연,Yuyeon,柔軟 / 柔软,Róuruǎn / Yàuhyúhn
8,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,3,7,8,9,すながくれ,Sunagakure,Voile Sable,Sandschleier,Sabbiavelo,Velo Arena,모래숨기,Morae Sumgi,沙隱 / 沙隐,Shā Yǐn / Sā Yán
9,Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",3,9,5,1,せいでんき,Seidenki,Statik,Statik,Statico,Elec. Estática*,정전기,Jeongjeon'gi,靜電 / 静电,Jìngdiàn / Jihngdihn
10,Volt Absorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",3,3,2,2,ちくでん,Chikuden,Absorb Volt,Voltabsorber,Assorbivolt,Absorbe Elec*,축전,Chukjeon,蓄電 / 蓄电,Xùdiàn / Chūkdihn
11,Water Absorb,"Restores HP if hit by a Water-type move, instead of taking damage.",3,2,12,9,ちょすい,Chosui,Absorb Eau,H2O-Absorber,Assorbacqua,Absorbe Agua*,저수,Jeosu,儲水 / 储水,Chúshuǐ / Chyúhséui
12,Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.",3,0,19,5,どんかん,Donkan,Benêt,Dösigkeit,Indifferenza,Despiste,둔감,Dungam,遲鈍 / 迟钝,Chídùn / Chìhdeuhn
13,Cloud Nine,Eliminates the effects of weather.,3,0,2,5,ノーてんき,Nō Tenki,Ciel Gris,Wolke Sieben,Antimeteo,Aclimatación,날씨 부정,Nalssi Bujeong,無關天氣 / 无关天气,Wúguān Tiānqì / Mòuhgwāan Tīnhei
