Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Female,Male,Unbreedable,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen
Blissey,242,,,,,223,,Normal,,1,0,,Fairy,,40,10240,10496,10455,10280,10240,103.2,46.8,Fast,"bipedal, tailless form",Normal,2
Groudon,383,P,,Red Orb,Primal,199,,Ground,Fire,,,U,Undiscovered,,120,,30976,30855,30840,30720,2094.4,950,Slow,"bipedal, tailed form",Ground,3
Noivern,715,,,,,114,Mo,Flying,Dragon,1,1,,Flying,,20,,,,5140,5120,187.4,85,Medium Fast,single pair of wings,Flying,6
Gogoat,673,,,,,90,Ce,Grass,,1,1,,Field,,20,,,,5140,5120,200.6,91,Medium Fast,quadruped body,Grass,6
Lunatone,337,,,,,125,,Rock,Psychic,,,,Mineral,,25,,6656,6630,6425,6400,370.4,168,Fast,head,Rock,3
Huntail,367,,,,,177,,Water,,1,1,,Water 1,,20,,5376,5355,5140,5120,59.5,27,Erratic,serpentine bodies,Water,3
Silvally,773,,,,Type: Ice,204,,Normal,,,,U,Undiscovered,,120,,,,,30720,221.6,100.5,Slow,quadruped body,Normal,7
Eelektrik,603,,,,,109,,Electric,,1,1,,Amorphous,,20,,,,5140,5120,48.5,22,Slow,fins,Electric,5
Talonflame,663,,,,,16,Ce,Fire,Flying,1,1,,Flying,,15,,,,3855,3840,54,24.5,Medium Slow,single pair of wings,Fire,6
Flabébé,669,,,,Red Flower,68,Ce,Fairy,,1,0,,Fairy,,20,,,,5140,5120,0.2,0.1,Medium Fast,head and arms,Fairy,6
Scatterbug,664,,,,,20,Ce,Bug,,1,1,,Bug,,15,,,,3855,3840,5.5,2.5,Medium Fast,insectoid body,Bug,6
Petilil,548,,,,,54,,Grass,,1,0,,Grass,,20,,,,5140,5120,14.6,6.6,Medium Fast,head and a base,Grass,5
Umbreon,197,,,,,189,,Dark,,1,7,,Field,,35,8960,9216,9180,8995,8960,59.5,27,Medium Fast,quadruped body,Dark,2
Tynamo,602,,,,,108,,Electric,,1,1,,Amorphous,,20,,,,5140,5120,0.7,0.3,Slow,fins,Electric,5
Shiftry,275,,,,,24,,Grass,Dark,1,1,,Field,Grass,15,,4096,4080,3855,3840,131.4,59.6,Medium Slow,"bipedal, tailless form",Grass,3
Shiinotic,756,,,,,146,,Grass,Fairy,1,1,,Grass,,20,,,,,5120,25.4,11.5,Medium Fast,"bipedal, tailless form",Grass,7
Simisage,512,,,,,18,,Grass,,1,7,,Field,,20,,,,5140,5120,67.2,30.5,Medium Fast,"bipedal, tailed form",Grass,5
Cacturne,332,,,,,120,,Grass,Dark,1,1,,Grass,Human-Like,20,,5376,5355,5140,5120,170.6,77.4,Medium Slow,"bipedal, tailless form",Grass,3
Slowbro,80,,,,,80,,Water,Psychic,1,1,,Monster,Water 1,20,5120,5376,5355,5140,5120,173.1,78.5,Medium Fast,"bipedal, tailed form",Water,1
Froslass,478,,,,,208,,Ice,Ghost,1,0,,Fairy,Mineral,20,,,5355,5140,5120,58.6,26.6,Medium Fast,head and arms,Ice,4
Krookodile,553,,,,,59,,Ground,Dark,1,1,,Field,,20,,,,5140,5120,212.3,96.3,Medium Slow,"bipedal, tailed form",Ground,5
Buizel,418,,,,,56,,Water,,1,1,,Water 1,Field,20,,,5355,5140,5120,65,29.5,Medium Fast,quadruped body,Water,4
Cherrim,421,,,,Sunshine Form,59,,Grass,,1,1,,Fairy,Grass,20,,,5355,5140,5120,20.5,9.3,Medium Fast,head and legs,Grass,4
Sandile,551,,,,,57,,Ground,Dark,1,1,,Field,,20,,,,5140,5120,33.5,15.2,Medium Slow,quadruped body,Ground,5
Axew,610,,,,,116,,Dragon,,1,1,,Monster,Dragon,40,,,,10280,10240,39.7,18,Slow,"bipedal, tailed form",Dragon,5
Archen,566,,,,,72,,Rock,Flying,1,7,,Flying,Water 3,30,,,,7710,7680,20.9,9.5,Medium Fast,single pair of wings,Rock,5
Shaymin,492,,,,Land Forme,,,Grass,,,,U,Undiscovered,,120,,,30855,30840,30720,4.6,2.1,Medium Slow,quadruped body,Grass,4
Claydol,344,,,,,132,,Ground,Psychic,,,,Mineral,,20,,5376,5355,5140,5120,238,107.9,Medium Fast,head and arms,Ground,3
Gothorita,575,,,,,81,,Psychic,,3,1,,Human-Like,,20,,,,5140,5120,39.7,18,Medium Slow,"bipedal, tailless form",Psychic,5
Staryu,120,,,,,120,,Water,,,,,Water 3,,20,5120,5376,5355,5140,5120,76.1,34.5,Slow,head and a base,Water,1
Gallade,475,M,,Galladite,Mega,160,,Psychic,Fighting,0,1,,Amorphous,,20,,,5355,5140,5120,114.6,52,Slow,"bipedal, tailless form",Psychic,4
Kirlia,281,,,,,30,,Psychic,Fairy,1,1,,Amorphous,,20,,5376,5355,5140,5120,44.5,20.2,Slow,"bipedal, tailless form",Psychic,3
Pangoro,675,,,,,92,Ce,Fighting,Dark,1,1,,Field,Human-Like,25,,,,6425,6400,299.8,136,Medium Fast,"bipedal, tailless form",Fighting,6
Oricorio,741,,,,Pom-Pom Style,82,,Fire,Flying,3,1,,Flying,,20,,,,,5120,7.5,3.4,Medium Fast,single pair of wings,Fire,7
Pignite,499,,,,,5,,Fire,Fighting,1,7,,Field,,20,,,,5140,5120,122.4,55.5,Medium Slow,"bipedal, tailed form",Fire,5
Aron,304,,,,,70,,Steel,Rock,1,1,,Monster,,35,,9216,9180,8995,8960,132.3,60,Slow,quadruped body,Steel,3
Dewgong,87,,,,,87,,Water,Ice,1,1,,Water 1,Field,20,5120,5376,5355,5140,5120,264.6,120,Medium Fast,fins,Water,1
Hakamo-o,783,,,,,272,,Dragon,Fighting,1,1,,Dragon,,40,,,,,10240,103.6,47,Slow,"bipedal, tailed form",Dragon,7
Mr. Mime,122,,,,,122,,Psychic,Fairy,1,1,,Human-Like,,25,6400,6656,6630,6425,6400,120.1,54.5,Medium Fast,"bipedal, tailless form",Psychic,1
Passimian,766,,,,,177,,Fighting,,1,1,,Field,,20,,,,,5120,182.5,82.8,Slow,"bipedal, tailed form",Fighting,7
Happiny,440,,,,,96,,Normal,,1,0,U,Undiscovered,,40,,,10455,10280,10240,53.8,24.4,Fast,"bipedal, tailless form",Normal,4
Spinarak,167,,,,,32,,Bug,Poison,1,1,,Bug,,15,3840,4096,4080,3855,3840,18.7,8.5,Fast,insectoid body,Bug,2
Regirock,377,,,,,193,,Rock,,,,U,Undiscovered,,80,,20736,20655,20560,20480,507.1,230,Slow,"bipedal, tailless form",Rock,3
Pikachu,25,,,,Alola Cap,25,,Electric,,1,1,,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,quadruped body,Electric,1
Arceus,493,,,,Type: Dragon,,,Normal,,,,U,Undiscovered,,120,,,30855,30840,30720,705.5,320,Slow,quadruped body,Normal,4
Hypno,97,,,,,97,,Psychic,,1,1,,Human-Like,,20,5120,5376,5355,5140,5120,166.7,75.6,Medium Fast,"bipedal, tailless form",Psychic,1
Durant,632,,,,,138,,Bug,Steel,1,1,,Bug,,20,,,,5140,5120,72.8,33,Medium Fast,insectoid body,Bug,5
Meloetta,648,P,,,Pirouette Forme,154,,Normal,Fighting,,,U,Undiscovered,,120,,,,30840,30720,14.3,6.5,Slow,"bipedal, tailless form",Normal,5
Raticate,20,,,,,20,,Normal,,1,1,,Field,,15,3840,4096,4080,3855,3840,40.8,18.5,Medium Fast,quadruped body,Normal,1
