ID,Name,English,Japanese,Romaji,French,German,Italian,Spanish,Korean,Chinese,ID,Name,Cat_EN,Cat_JP,CAT_JP_T
1,Bulbasaur,Seed,たね,Tane,Graine,Samen,Seme,Semilla,씨앗 Ssiat,種子 / 种子 Zhǒngzǐ / Júngjí,1,Bulbasaur,Seed Pokémon,たねポケモン,Seed Pokémon
2,Ivysaur,Seed,たね,Tane,Graine,Samen,Seme,Semilla,씨앗 Ssiat,種子 / 种子 Zhǒngzǐ / Júngjí,2,Ivysaur,Seed Pokémon,たねポケモン,Seed Pokémon
3,Venusaur,Seed,たね,Tane,Graine,Samen,Seme,Semilla,씨앗 Ssiat,種子 / 种子 Zhǒngzǐ / Júngjí,3,Venusaur,Seed Pokémon,たねポケモン,Seed Pokémon
4,Charmander,Lizard,とかげ,Tokage,Lézard,Echse,Lucertola,Lagartija,도롱뇽 Dorongnyong,蜥蜴 Xīyì / Sīkyihk,4,Charmander,Lizard Pokémon,とかげポケモン,Lizard Pokémon
5,Charmeleon,Flame,かえん,Kaen,Flamme,Flamme,Fiamma,Llama,화염 Hwayeom,火焰 Huǒyàn / Fóyìhm,5,Charmeleon,Flame Pokémon,かえんポケモン,Flame Pokémon
6,Charizard,Flame,かえん,Kaen,Flamme,Flamme,Fiamma,Llama,화염 Hwayeom,火焰 Huǒyàn / Fóyìhm,6,Charizard,Flame Pokémon,かえんポケモン,Flame Pokémon
7,Squirtle,Tiny Turtle*,かめのこ,Kame no Ko,Minitortue,Minikröte,Tartaghina,Tortuguita,꼬마거북 Kkoma Geobuk,小龜 / 小龟 Xiǎoguī / Síugāu,7,Squirtle,Tiny Turtle Pokémon,かめのこポケモン,Young Turtle Pokémon
8,Wartortle,Turtle,かめ,Kame,Tortue,Kröte,Tartaruga,Tortuga,거북 Geobuk,龜 / 龟 Guī / Gāu,8,Wartortle,Turtle Pokémon,かめポケモン,Turtle Pokémon
9,Blastoise,Shellfish,こうら,Kōra,Carapace,Schaltier,Crostaceo,Marisco,껍질 Kkeopjil,甲殼 / 甲壳 Jiǎké / Jiǎqiào / Gaaphok,9,Blastoise,Shellfish Pokémon,こうらポケモン,Shell Pokémon
10,Caterpie,Worm,いもむし,Imomushi,Ver,Wurm,Baco,Gusano,애벌레 Aebeolle,蟲寶寶 / 虫宝宝 Chóngbǎobǎo / Chùhngbóubóu,10,Caterpie,Worm Pokémon,いもむしポケモン,Caterpillar Pokémon
11,Metapod,Cocoon,さなぎ,Sanagi,Cocon,Kokon,Bozzolo,Capullo,번데기 Beondegi,蛹 Yǒng / Yúng,11,Metapod,Cocoon Pokémon,さなぎポケモン,Chrysalis Pokémon
12,Butterfree,Butterfly,ちょうちょ,Chōcho,Papillon,Falter,Farfalla,Mariposa,나비 Nabi,蝴蝶 Húdié / Wùhdihp,12,Butterfree,Butterfly Pokémon,ちょうちょポケモン,Butterfly Pokémon
13,Weedle,Hairy Bug,けむし,Kemushi,Insectopic,Raupe,Millepiedi,Oruga,송충이 Songchung-i,毛毛蟲 / 毛毛虫 Máomáoqiú / Mòuhmòuhchùhng,13,Weedle,Hairy Bug Pokémon,けむしポケモン,Hairy Caterpillar Pokémon
