ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,ID,English,German,ID,English,French,ID,English,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,ID,English,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
1,Bulbasaur,フシギダネ,Fushigidane,Fushigidane,1,Bulbasaur,Bisasam,1,Bulbasaur,Bulbizarre,1,Bulbasaur,이상해씨,Isanghaessi,Isanghaessi,Isanghessi,1,Bulbasaur,妙蛙種子,妙蛙种子,Miàowāzhǒngzǐ,Miuhwājúngjí,奇異種子 Kèihyihjúngjí (HK)
2,Ivysaur,フシギソウ,Fushigisō,Fushigisou,2,Ivysaur,Bisaknosp,2,Ivysaur,Herbizarre,2,Ivysaur,이상해풀,Isanghaepul,Isanghaep'ul,Isanghepul,2,Ivysaur,妙蛙草,妙蛙草,Miàowācǎo,Miuhwāchóu,奇異草 Kèihyihchóu (HK)
3,Venusaur,フシギバナ,Fushigibana,Fushigibana,3,Venusaur,Bisaflor,3,Venusaur,Florizarre,3,Venusaur,이상해꽃,Isanghaekkot,Isanghaekkot,Isanghekkot,3,Venusaur,妙蛙花,妙蛙花,Miàowāhuā,Miuhwāfā,奇異花 Kèihyihfā (HK)
4,Charmander,ヒトカゲ,Hitokage,Hitokage,4,Charmander,Glumanda,4,Charmander,Salamèche,4,Charmander,파이리,Pairi,P'airi,Fairit,4,Charmander,小火龍,小火龙,Xiǎohuǒlóng,Síufólùhng,-
5,Charmeleon,リザード,Rizādo,Lizardo,5,Charmeleon,Glutexo,5,Charmeleon,Reptincel,5,Charmeleon,리자드,Rijadeu,Rijadŭ,Rizard,5,Charmeleon,火恐龍,火恐龙,Huǒkǒnglóng,Fóhúnglùhng,-
6,Charizard,リザードン,Rizādon,Lizardon,6,Charizard,Glurak,6,Charizard,Dracaufeu,6,Charizard,리자몽,Rijamong,Rijamong,Rizamon,6,Charizard,噴火龍,喷火龙,Pēnhuǒlóng,Panfólùhng,-
7,Squirtle,ゼニガメ,Zenigame,Zenigame,7,Squirtle,Schiggy,7,Squirtle,Carapuce,7,Squirtle,꼬부기,Kkobugi,Kkobugi,Kkobugi,7,Squirtle,傑尼龜,杰尼龟,Jiéníguī,Gihtnèihgwāi,車厘龜 Chēléigwāi (HK)
8,Wartortle,カメール,Kamēru,Kameil,8,Wartortle,Schillok,8,Wartortle,Carabaffe,8,Wartortle,어니부기,Eonibugi,Ŏnibugi,Eonibugi,8,Wartortle,卡咪龜,卡咪龟,Kǎmīguī,Kāmāigwāi,卡美龜 Kāméihgwāi (HK)
9,Blastoise,カメックス,Kamekkusu,Kamex,9,Blastoise,Turtok,9,Blastoise,Tortank,9,Blastoise,거북왕,Geobugwang,Kŏbugwang,Geobugwang,9,Blastoise,水箭龜,水箭龟,Shuǐjiànguī,Séuijingwāi,-
10,Caterpie,キャタピー,Kyatapī,Caterpie,10,Caterpie,Raupy,10,Caterpie,Chenipan,10,Caterpie,캐터피,Kaeteopi,K'aet'ŏp'i,Caterpie,10,Caterpie,綠毛蟲,绿毛虫,Lǜmáochóng,Luhkmòuhchùhng,-
11,Metapod,トランセル,Toranseru,Transel,11,Metapod,Safcon,11,Metapod,Chrysacier,11,Metapod,단데기,Dandegi,Tandegi,Tandegi,11,Metapod,鐵甲蛹,铁甲蛹,Tiějiáyǒng,Titgaapyúng,鐵甲蟲 Titgaapchùhng (HK)
12,Butterfree,バタフリー,Batafurī,Butterfree,12,Butterfree,Smettbo,12,Butterfree,Papilusion,12,Butterfree,버터플,Beoteopeul,Pŏt'ŏp'ŭl,Butterfle,12,Butterfree,巴大蝶,巴大蝶,Bādàdié,Bādaaidihp,"巴大蝴 Bādàhú (TW/CN)
巴他蝶 Bātādihp (HK)"
13,Weedle,ビードル,Bīdoru,Beedle,13,Weedle,Hornliu,13,Weedle,Aspicot,13,Weedle,뿔충이,Ppulchungi,Ppulch'ungi,Ppulchungi,13,Weedle,獨角蟲,独角虫,Dújiǎochóng,Duhkgokchùhng,-
14,Kakuna,コクーン,Kokūn,Cocoon,14,Kakuna,Kokuna,14,Kakuna,Coconfort,14,Kakuna,딱충이,Ttakchungi,Ttakch'ungi,Ttakchungi,14,Kakuna,鐵殼蛹,铁壳蛹,Tiěkéyǒng,Tithokyúng,鐵殼昆 / 铁壳昆 Tiěkékūn (TW/CN)
15,Beedrill,スピアー,Supiā,Spear,15,Beedrill,Bibor,15,Beedrill,Dardargnan,15,Beedrill,독침붕,Dokchimbung,Tokch'imbung,Tokchimbung,15,Beedrill,大針蜂,大针蜂,Dàzhēnfēng,Daaihjāmfūng,-
16,Pidgey,ポッポ,Poppo,Poppo,16,Pidgey,Taubsi,16,Pidgey,Roucool,16,Pidgey,구구,Gugu,Kugu,Gugu,16,Pidgey,波波,波波,Bōbō,Bōbō,-
17,Pidgeotto,ピジョン,Pijon,Pigeon,17,Pidgeotto,Tauboga,17,Pidgeotto,Roucoups,17,Pidgeotto,피죤,Pijyon,P'ijyon,Pijon,17,Pidgeotto,比比鳥,比比鸟,Bǐbǐniǎo,Béibéiníuh,-
18,Pidgeot,ピジョット,Pijotto,Pigeot,18,Pidgeot,Tauboss,18,Pidgeot,Roucarnage,18,Pidgeot,피죤투,Pijyontu,P'ijyont'u,Pijontoo,18,Pidgeot,大比鳥,大比鸟,Dàbǐniǎo,Daaihbéiníuh,比鵰 / 比雕 Bǐdiāo (TW/CN)
19,Rattata,コラッタ,Koratta,Koratta,19,Rattata,Rattfratz,19,Rattata,Rattata,19,Rattata,꼬렛,Kkoret,Kkoret,Koret,19,Rattata,小拉達,小拉达,Xiǎolādá,Síulāaidaaht,小哥達 Síugōdaaht (HK)
20,Raticate,ラッタ,Ratta,Ratta,20,Raticate,Rattikarl,20,Raticate,Rattatac,20,Raticate,레트라,Reteura,Ret'ŭra,Retra,20,Raticate,拉達,拉达,Lādá,Lāaidaaht,哥達 Gōdaaht (HK)
21,Spearow,オニスズメ,Onisuzume,Onisuzume,21,Spearow,Habitak,21,Spearow,Piafabec,21,Spearow,깨비참,Kkaebicham,Kkaebich'am,Kebicham,21,Spearow,烈雀,烈雀,Lièquè,Lihtjéuk,鬼雀 Gwáijéuk (HK)
22,Fearow,オニドリル,Onidoriru,Onidrill,22,Fearow,Ibitak,22,Fearow,Rapasdepic,22,Fearow,깨비드릴조,Kkaebideuriljo,Kkaebidŭrilcho,Kebidrillzo,22,Fearow,大嘴雀,大嘴雀,Dàzuǐquè,Daaihjéuijéuk,魔雀 Mōjéuk (HK)
23,Ekans,アーボ,Ābo,Arbo,23,Ekans,Rettan,23,Ekans,Abo,23,Ekans,아보,Abo,Abo,Abo,23,Ekans,阿柏蛇,阿柏蛇,Ābóshé,Apaaksèh,-
24,Arbok,アーボック,Ābokku,Arbok,24,Arbok,Arbok,24,Arbok,Arbok,24,Arbok,아보크,Abokeu,Abok'ŭ,Abok,24,Arbok,阿柏怪,阿柏怪,Ābóguài,Apaakgwai,-
25,Pikachu,ピカチュウ,Pikachū,Pikachu,25,Pikachu,Pikachu,25,Pikachu,Pikachu,25,Pikachu,피카츄,Pikachyu,P'ik'ach'yu,Pikachu,25,Pikachu,皮卡丘,皮卡丘,Píkǎqiū,Pèihkāyāu,比卡超 Béikāchīu (HK)
26,Raichu,ライチュウ,Raichū,Raichu,26,Raichu,Raichu,26,Raichu,Raichu,26,Raichu,라이츄,Raichyu,Raich'yu,Raichu,26,Raichu,雷丘,雷丘,Léiqiū,Lèuihyāu,雷超 Lèuihchīu (HK)
27,Sandshrew,サンド,Sando,Sand,27,Sandshrew,Sandan,27,Sandshrew,Sabelette,27,Sandshrew,모래두지,Moraeduji,Moraeduji,Moreduji,27,Sandshrew,穿山鼠,穿山鼠,Chuānshānshǔ,Chyūnsāansyú,-
28,Sandslash,サンドパン,Sandopan,Sandpan,28,Sandslash,Sandamer,28,Sandslash,Sablaireau,28,Sandslash,고지,Goji,Koji,Koji,28,Sandslash,穿山王,穿山王,Chuānshānwáng,Chyūnsāanwòhng,-
29,Nidoran♀,ニドラン♀,Nidoran Mesu,Nidoran♀,29,Nidoran♀,Nidoran♀,29,Nidoran♀,Nidoran♀,29,Nidoran♀,니드런♀,Nideureonamkeot,Nidŭrŏnamk'ŏt,Nidoran♀,29,Nidoran♀,尼多蘭,尼多兰,Níduōlán,Nèihdōlàahn,尼美蘭 Nèihméihlàahn (HK)
