Name,Dex,Dex_Suffix,Alt,Item,Class,LDex,LDex_Suffix,Type,Type2,Gender_Ratio,Egg Group 1,Egg Group 2,Cycles,Steps_Gen2,Steps_Gen3,Steps_Gen4,Steps_Gen5,Steps_Gen6,WeightLbs,WeightKg,Experience type,Body,Type1,Gen,Color,Group,Base friendship,EvolutionLevel,Call_Rate_SM,Call_Rate_USUM,Ability 1,Ability 2,Hidden,Star,Habitat,Page,Ft,In,HeightM
Caterpie,10,,,,,10,,Bug,,1:1,Bug,—,15,3840,4096,4080,3855,3840,6.4,2.9,Medium Fast,Pokémon with an insectoid body,Bug,1,Green,A,70,7,,,Shield Dust,,Run Away,0,Forest,1,1,0,0.3
Articuno,144,,,,,144,,Ice,Flying,GU,Undiscovered,—,80,20480,20736,20655,20560,20480,122.1,55.4,Slow,Pokémon with a single pair of wings,Ice,1,Blue,C,35,,,,Pressure,,Snow Cloak,0,Rare,2,5,7,1.7
Slowbro,80,,,,,80,,Water,Psychic,1:1,Monster,Water 1,20,5120,5376,5355,5140,5120,173.1,78.5,Medium Fast,"Pokémon with a bipedal, tailed form",Water,1,Pink,B,70,,,,Oblivious,Own Tempo,Regenerator,0,Water's-edge,9,5,3,1.6
Nidoqueen,31,,,,,31,,Poison,Ground,1:0U,Undiscovered,—,20,5120,5376,5355,5140,5120,132.3,60,Medium Slow,"Pokémon with a bipedal, tailed form",Poison,1,Blue,C,70,,,,Poison Point,Rivalry,Sheer Force,1,Grassland,3,4,3,1.3
Arceus,493,,,,Type: Fairy,,,Normal,,GU,Undiscovered,—,120,,,30855,30840,30720,705.5,320,Slow,Pokémon with a quadruped body,Normal,4,White,,0,,,,Multitype,,,0,,,10,6,3.2
Flabébé,669,,,,Red Flower,68,Ce,Fairy,,1:0,Fairy,—,20,,,,5140,5120,0.2,0.1,Medium Fast,Pokémon consisting of a head and arms,Fairy,6,White,,70,19,,,Flower Veil,,Symbiosis,0,,,0,4,0.1
Heatran,485,,,,,,,Fire,Steel,1:1U,Undiscovered,—,10,,,2805,2570,2560,948,430,Slow,Pokémon with a quadruped body,Fire,4,Brown,C,100,,,,Flash Fire,,Flame Body,0,,,5,7,1.7
Arceus,493,,,,Type: Normal,,,Normal,,GU,Undiscovered,—,120,,,30855,30840,30720,705.5,320,Slow,Pokémon with a quadruped body,Normal,4,White,,0,,,,Multitype,,,0,,,10,6,3.2
Hakamo-o,783,,,,,272,,Dragon,Fighting,1:1,Dragon,—,40,,,,,10240,103.6,47,Slow,"Pokémon with a bipedal, tailed form",Dragon,7,Gray,,70,45,,,Bulletproof,Soundproof,Overcoat,0,,,3,11,1.2
Cobalion,638,,,,,144,,Steel,Fighting,GU,Undiscovered,—,80,,,,20560,20480,551.2,250,Slow,Pokémon with a quadruped body,Steel,5,Blue,,35,,,,Justified,,,0,,,6,11,2.1
Rattata,19,,,,,19,,Normal,,1:1,Field,—,15,3840,4096,4080,3855,3840,7.7,3.5,Medium Fast,Pokémon with a quadruped body,Normal,1,Purple,F,70,20,,,Run Away,Guts,Hustle,0,Grassland,1,1,0,0.3
Shiinotic,756,,,,,146,,Grass,Fairy,1:1,Grass,—,20,,,,,5120,25.4,11.5,Medium Fast,"Pokémon with a bipedal, tailless form",Grass,7,Purple,,70,,,,Illuminate,Effect Spore,Rain Dish,0,,,3,3,1
Frogadier,657,,,,,8,Ce,Water,,1:7,Water 1,—,20,,,,5140,5120,24,10.9,Medium Slow,"Pokémon with a bipedal, tailless form",Water,6,Blue,,70,36,,,Torrent,,Protean,0,,,2,0,0.6
Cosmog,789,,,,,289,,Psychic,,GU,Undiscovered,—,120,,,,,30720,0.2,0.1,Slow,Pokémon consisting of only a head,Psychic,7,Blue,,0,43,,,Unaware,,,0,,,0,8,0.2
Lombre,271,,,,,20,,Water,Grass,1:1,Water 1,Grass,15,,4096,4080,3855,3840,71.6,32.5,Medium Slow,"Pokémon with a bipedal, tailless form",Water,3,Green,G,70,,,,Swift Swim,Rain Dish,Own Tempo,0,Water's-edge,4,3,11,1.2
Braviary,628,,,,,134,,Normal,Flying,0:1,Flying,—,20,,,,5140,5120,90.4,41,Slow,Pokémon with a single pair of wings,Normal,5,Red,,70,,,,Keen Eye,Sheer Force,Defiant,0,,,4,11,1.5
Fletchinder,662,,,,,15,Ce,Fire,Flying,1:1,Flying,—,15,,,,3855,3840,35.3,16,Medium Slow,Pokémon with a single pair of wings,Fire,6,Red,,70,35,,,Flame Body,,Gale Wings,0,,,2,4,0.7
Zweilous,634,,,,,140,,Dark,Dragon,1:1,Dragon,—,40,,,,10280,10240,110.2,50,Slow,Pokémon with a quadruped body,Dark,5,Blue,,35,64,,,Hustle,,,0,,,4,7,1.4
Fearow,22,,,,,22,,Normal,Flying,1:1,Flying,—,15,3840,4096,4080,3855,3840,83.8,38,Medium Fast,Pokémon with a single pair of wings,Normal,1,Brown,D,70,,,,Keen Eye,,Sniper,0,Rough-terrain,1,3,11,1.2
Tsareena,763,,,,,173,,Grass,,1:0,Grass,—,20,,,,,5120,47.2,21.4,Medium Slow,"Pokémon with a bipedal, tailless form",Grass,7,Purple,,70,,,,Leaf Guard,Queenly Majesty,Sweet Veil,0,,,3,11,1.2
Pikachu,25,,,,Kalos Cap,25,,Electric,,1:1,Field,Fairy,10,2560,2816,2805,2570,2560,13.2,6,Medium Fast,Pokémon with a quadruped body,Electric,1,Yellow,D,70,,,,Static,,Lightning Rod,0,Forest,7,1,4,0.4
Doublade,680,,,,,118,Ce,Steel,Ghost,1:1,Mineral,—,20,,,,5140,5120,9.9,4.5,Medium Fast,Pokémon consisting of multiple bodies,Steel,6,Brown,,70,,,,No Guard,,,0,,,2,7,0.8
Xurkitree,796,,,,,296,,Electric,,GU,Undiscovered,—,120,,,,,30720,220.5,100,Slow,"Pokémon with a bipedal, tailed form",Electric,7,Black,,0,,,,Beast Boost,,,0,,,12,6,3.8
Aegislash,681,,,,Shield Forme,119,Ce,Steel,Ghost,1:1,Mineral,—,20,,,,5140,5120,116.8,53,Medium Fast,Pokémon consisting of a head and a base,Steel,6,Brown,,70,,,,Stance Change,,,0,,,5,7,1.7
Zigzagoon,263,,,,,12,,Normal,,1:1,Field,—,15,,4096,4080,3855,3840,38.6,17.5,Medium Fast,Pokémon with a quadruped body,Normal,3,Brown,D,70,20,,,Pickup,Gluttony,Quick Feet,1,Grassland,2,1,4,0.4
Terrakion,639,,,,,145,,Rock,Fighting,GU,Undiscovered,—,80,,,,20560,20480,573.2,260,Slow,Pokémon with a quadruped body,Rock,5,Gray,,35,,,,Justified,,,0,,,6,3,1.9
Blaziken,257,M,,Blazikenite,Mega,6,,Fire,Fighting,1:7,Field,—,20,,5376,5355,5140,5120,114.6,52,Medium Slow,"Pokémon with a bipedal, tailed form",Fire,3,Red,,70,,,,Blaze,,Speed Boost,0,Grassland,26,6,3,1.9
Bisharp,625,,,,,131,,Dark,Steel,1:1,Human-Like,—,20,,,,5140,5120,154.3,70,Medium Fast,"Pokémon with a bipedal, tailless form",Dark,5,Red,,35,,,,Defiant,Inner Focus,Pressure,0,,,5,3,1.6
Oricorio,741,,,,Sensu Style,82,,Fire,Flying,3:1,Flying,—,20,,,,,5120,7.5,3.4,Medium Fast,Pokémon with a single pair of wings,Fire,7,Purple,,70,,,,Dancer,,,0,,,2,0,0.6
Stoutland,508,,,,,14,,Normal,,1:1,Field,—,15,,,,3855,3840,134.5,61,Medium Slow,Pokémon with a quadruped body,Normal,5,Gray,,70,,,,Intimidate,Sand Rush,Scrappy,0,,,3,11,1.2
Darmanitan,555,Z,,,Zen Mode,61,,Fire,Psychic,1:1,Field,—,20,,,,5140,5120,204.8,92.9,Medium Slow,Pokémon with a quadruped body,Fire,5,Blue,,70,,,,Zen Mode,,,0,,,4,3,1.3
Heracross,214,,,,,114,,Bug,Fighting,1:1,Bug,—,25,6400,6656,6630,6425,6400,119,54,Slow,"Pokémon with a bipedal, tailless form",Bug,2,Blue,C,70,,,,Swarm,Guts,Moxie,0,Forest,21,4,11,1.5
Togedemaru,777,,,,,225,,Electric,Steel,1:1,Field,Fairy,10,,,,,2560,7.3,3.3,Medium Fast,"Pokémon with a bipedal, tailed form",Electric,7,Gray,,70,,,,Iron Barbs,Lightning Rod,Sturdy,0,,,1,0,0.3
Clefable,36,,,,,36,,Fairy,,3:1,Fairy,—,10,2560,2816,2805,2570,2560,88.2,40,Fast,"Pokémon with a bipedal, tailed form",Fairy,1,Pink,B,140,,,,Cute Charm,Magic Guard,Unaware,1,Mountain,4,4,3,1.3
Wormadam,413,,,,Plant Cloak,46,,Bug,Grass,1:0,Bug,—,15,,,4080,3855,3840,14.3,6.5,Medium Fast,Pokémon consisting of a head and a base,Bug,4,Green,G,70,,,,Anticipation,,Overcoat,0,,,1,8,0.5
Kyogre,382,,,,,198,,Water,,GU,Undiscovered,—,120,,30976,30855,30840,30720,776,352,Slow,Pokémon with fins,Water,3,Blue,E,0,,,,Drizzle,,,0,Sea,16,14,9,4.5
Sandshrew,27,,,,,27,,Ground,,1:1,Field,—,20,5120,5376,5355,5140,5120,26.5,12,Medium Fast,"Pokémon with a bipedal, tailed form",Ground,1,Yellow,D,70,22,,,Sand Veil,,Sand Rush,0,Rough-terrain,2,2,0,0.6
Marshadow,802,,,,Zenith,302,,Fighting,Ghost,GU,Undiscovered,—,120,,,,,30720,48.9,22.2,Slow,"Pokémon with a bipedal, tailless form",Fighting,7,Gray,,0,,,,Technician,,,0,,,2,4,0.7
Bounsweet,761,,,,,171,,Grass,,1:0,Grass,—,20,,,,,5120,7.1,3.2,Medium Slow,Pokémon consisting of a head and legs,Grass,7,Purple,,70,18,,,Leaf Guard,Oblivious,Sweet Veil,0,,,1,0,0.3
