Name,Dex,Item,Egg Group 1,Egg Group 2,Type,Type2,Body,Color,Call_Rate_SM,Call_Rate_USUM,Star,Gender_Ratio,Cycles,Ability 1,Ability 2,Hidden,WeightKg,WeightLbs,HeightM,Ft,In
Registeel,379,,Undiscovered,,Steel,,"Bipedal, tailless form",Gray,,,0,GU,80,Clear Body,,Light Metal,205,451.9,1.9,6,3
Altaria,334,,Flying,Dragon,Dragon,Flying,Single pair of wings,Blue,,,0,1:1,20,Natural Cure,,Cloud Nine,20.6,45.4,1.1,3,7
Kyurem,646,,Undiscovered,,Dragon,Ice,"Bipedal, tailed form",Gray,,,0,GU,120,Pressure,,,325,716.5,3.6,11,10
Nuzleaf,274,,Field,Grass,Grass,Dark,"Bipedal, tailless form",Brown,,,0,1:1,15,Chlorophyll,Early Bird,Pickpocket,28,61.7,1,3,3
Seaking,119,,Water 2,,Water,,Fins,Red,,,0,1:1,20,Swift Swim,Water Veil,Lightning Rod,39,86,1.3,4,3
Bruxish,779,,Water 2,,Water,Psychic,Fins,Pink,,,0,1:1,15,Dazzling,Strong Jaw,Wonder Skin,19,41.9,0.9,2,11
Arbok,24,,Field,Dragon,Poison,,Serpentine bodies,Purple,,,0,1:1,20,Intimidate,Shed Skin,Unnerve,65,143.3,3.5,11,6
Deerling,585,,Field,,Normal,Grass,Quadruped body,Pink,,,0,1:1,20,Chlorophyll,Sap Sipper,Serene Grace,19.5,43,0.6,2,0
Graveler,75,,Mineral,,Rock,Electric,"Bipedal, tailless form",Gray,,,0,1:1,15,Rock Head,Sturdy,Sand Veil,105,231.5,1,3,3
Magearna,801,,Undiscovered,,Steel,Fairy,"Bipedal, tailless form",Gray,,,0,GU,120,Soul-Heart,,,80.5,177.5,1,3,3
Florges,671,,Fairy,,Fairy,,Head and arms,White,,,0,1:0,20,Flower Veil,,Symbiosis,10,22,1.1,3,7
Entei,244,,Undiscovered,,Fire,,Quadruped body,Brown,,,8,GU,80,Pressure,,Inner Focus,198,436.5,2.1,6,11
Arceus,493,,Undiscovered,,Normal,,Quadruped body,White,,,0,GU,120,Multitype,,,320,705.5,3.2,10,6
Igglybuff,174,,Undiscovered,,Normal,Fairy,"Bipedal, tailless form",Pink,,,2,3:1U,10,Cute Charm,Competitive,Friend Guard,1,2.2,0.3,1,0
Lunala,792,,Undiscovered,,Psychic,Ghost,Single pair of wings,Purple,,,0,GU,120,Shadow Shield,,,120,264.6,4,13,1
Gastrodon,423,,Water 1,Amorphous,Water,Ground,Serpentine bodies,Blue,,,0,1:1,20,Sticky Hold,Storm Drain,Sand Force,29.9,65.9,0.9,2,11
Shelgon,372,,Dragon,,Dragon,,Quadruped body,White,,,0,1:1,40,Rock Head,,Overcoat,110.5,243.6,1.1,3,7
Flaaffy,180,,Monster,Field,Electric,,"Bipedal, tailed form",Pink,,,0,1:1,20,Static,,Plus,13.3,29.3,0.8,2,7
Ralts,280,,Amorphous,,Psychic,Fairy,"Bipedal, tailless form",White,,,0,1:1,20,Synchronize,Trace,Telepathy,6.6,14.6,0.4,1,4
Carnivine,455,,Grass,,Grass,,Tentacles or a multiped body,Green,,,0,1:1,25,Levitate,,,27,59.5,1.4,4,7
Swirlix,684,,Fairy,,Fairy,,Head and legs,White,,,0,1:1,20,Sweet Veil,,Unburden,3.5,7.7,0.4,1,4
Flabébé,669,,Fairy,,Fairy,,Head and arms,White,,,0,1:0,20,Flower Veil,,Symbiosis,0.1,0.2,0.1,0,4
Florges,671,,Fairy,,Fairy,,Head and arms,White,,,0,1:0,20,Flower Veil,,Symbiosis,10,22,1.1,3,7
Qwilfish,211,,Water 2,,Water,Poison,Fins,Gray,,,0,1:1,20,Poison Point,Swift Swim,Intimidate,3.9,8.6,0.5,1,8
Golurk,623,,Mineral,,Ground,Ghost,"Bipedal, tailless form",Green,,,0,G,25,Iron Fist,Klutz,No Guard,330,727.5,2.8,9,2
Noivern,715,,Flying,,Flying,Dragon,Single pair of wings,Purple,,,0,1:1,20,Frisk,Infiltrator,Telepathy,85,187.4,1.5,4,11
Bastiodon,411,,Monster,,Rock,Steel,Quadruped body,Gray,,,0,1:7,30,Sturdy,,Soundproof,149.5,329.6,1.3,4,3
Pikachu,25,,Field,Fairy,Electric,,Quadruped body,Yellow,,,0,1:1,10,Static,,Lightning Rod,6,13.2,0.4,1,4
Bibarel,400,,Water 1,Field,Normal,Water,"Bipedal, tailed form",Brown,,,0,1:1,15,Simple,Unaware,Moody,31.5,69.4,1,3,3
Croconaw,159,,Monster,Water 1,Water,,"Bipedal, tailed form",Blue,,,0,1:7,20,Torrent,,Sheer Force,25,55.1,1.1,3,7
Burmy,412,,Bug,,Bug,,Head and a base,Green,,,0,1:1,15,Shed Skin,,Overcoat,3.4,7.5,0.2,0,8
Parasect,47,,Bug,Grass,Bug,Grass,Insectoid body,Red,,,2,1:1,20,Effect Spore,Dry Skin,Damp,29.5,65,1,3,3
Silvally,773,,Undiscovered,,Normal,,Quadruped body,Gray,,,0,GU,120,RKS System,,,100.5,221.6,2.3,7,7
Clefable,36,,Fairy,,Fairy,,"Bipedal, tailed form",Pink,,,2,3:1,10,Cute Charm,Magic Guard,Unaware,40,88.2,1.3,4,3
Wailord,321,,Field,Water 2,Water,,Fins,Blue,,,0,1:1,40,Water Veil,Oblivious,Pressure,398,877.4,14.5,47,7
Sandslash,28,,Field,,Ground,,"Bipedal, tailed form",Yellow,,,0,1:1,20,Sand Veil,,Sand Rush,29.5,65,1,3,3
