ID,ID_EXT,Name,Class,Base_HP,Base_Attack,Base_Defense,Base_Sp_Attack,Base_Sp_Defense,Base_Speed,Base_Total,Base_Average,GEN,GEN2
606,,Beheeyem,,75,75,75,125,95,40,485,80.83,2,5
143,,Snorlax,,160,110,65,65,65,30,430,86,1,
636,,Larvesta,,55,85,55,50,55,60,360,60,2,5
102,,Exeggcute,,60,40,80,60,45,40,325,54.17,7,
189,,Jumpluff,,75,55,70,55,95,110,460,76.67,6,
457,,Lumineon,,69,69,76,69,86,91,460,76.67,6,
190,,Aipom,,55,70,55,40,55,85,360,60,6,
345,,Lileep,,66,41,77,61,87,23,355,59.17,7,
180,,Flaaffy,,70,55,55,80,60,45,365,60.83,7,
386,D,Deoxys ,Defense Forme,50,70,160,70,160,90,600,100,6,
121,,Starmie,,60,75,85,100,85,115,520,86.67,6,
638,,Cobalion,,91,90,129,90,72,108,580,96.67,7,
403,,Shinx,,45,65,34,40,34,45,263,43.83,7,
772,,Type: Null,,95,95,95,95,95,59,534,89,7,
308,,Medicham,,60,60,75,60,75,80,410,68.33,6,
486,,Regigigas,,110,160,110,80,110,100,670,111.67,6,
296,,Makuhita,,72,60,30,20,30,25,237,39.5,6,
503,,Samurott,,95,100,85,108,70,70,528,88,2,5
29,,Nidoran♀,,55,47,52,40,40,41,235,47,1,
498,,Tepig,,65,63,45,45,45,45,308,51.33,6,
43,,Oddish,,45,50,55,75,65,30,320,53.33,6,
632,,Durant,,58,109,112,48,48,109,484,80.67,7,
73,,Tentacruel,,80,70,65,80,120,100,515,85.83,7,
339,,Barboach,,50,48,43,46,41,60,288,48,7,
9,,Blastoise,,79,83,100,85,105,78,530,88.33,6,
491,,Darkrai,,70,90,90,135,90,125,600,100,2,5
289,,Slaking,,150,160,100,95,65,100,670,111.67,6,
78,,Rapidash,,65,100,70,80,80,105,500,83.33,2,5
19,,Rattata,,30,56,35,25,35,72,253,42.17,7,
551,,Sandile,,50,72,35,35,35,65,292,48.67,2,5
445,M,Garchomp ,Mega Garchomp,108,170,115,120,95,92,700,116.67,7,
3,,Venusaur,,80,82,83,100,100,80,525,87.5,2,5
285,,Shroomish,,60,40,60,40,60,35,295,49.17,2,5
57,,Primeape,,65,105,60,60,70,95,455,75.83,7,
124,,Jynx,,65,50,35,115,95,95,455,75.83,2,5
187,,Hoppip,,35,35,40,35,55,50,250,41.67,2,5
276,,Taillow,,40,55,30,30,30,85,270,45,7,
43,,Oddish,,45,50,55,75,65,30,320,53.33,2,5
583,,Vanillish,,51,65,65,80,75,59,395,65.83,7,
540,,Sewaddle,,45,53,70,40,60,42,310,51.67,2,5
457,,Lumineon,,69,69,76,69,86,91,460,76.67,7,
650,,Chespin,,56,61,65,48,45,38,313,52.17,6,
460,M,Abomasnow ,Mega Abomasnow,90,132,105,132,105,30,594,99,7,
176,,Togetic,,55,40,85,80,105,40,405,67.5,7,
644,,Zekrom,,100,150,120,120,100,90,680,113.33,2,5
33,,Nidorino,,61,72,57,55,55,65,365,60.83,2,5
390,,Chimchar,,44,58,44,58,44,61,309,51.5,2,5
46,,Paras,,35,70,55,55,55,25,240,48,1,
190,,Aipom,,55,70,55,40,55,85,360,60,7,
99,,Kingler,,55,130,115,50,50,75,475,79.17,2,5
308,,Medicham,,60,60,75,60,75,80,410,68.33,7,
403,,Shinx,,45,65,34,40,34,45,263,43.83,6,
396,,Starly,,40,55,30,30,30,60,245,40.83,6,
530,,Excadrill,,110,135,60,50,65,88,508,84.67,2,5
519,,Pidove,,50,55,50,36,30,43,264,44,2,5
296,,Makuhita,,72,60,30,20,30,25,237,39.5,7,
145,,Zapdos,,90,90,85,125,90,100,580,96.67,7,
558,,Crustle,,70,95,125,65,75,45,475,79.17,6,
463,,Lickilicky,,110,85,95,80,95,50,515,85.83,6,
257,M,Blaziken ,Mega Blaziken,80,160,80,130,80,100,630,105,6,
350,,Milotic,,95,60,79,100,125,81,540,90,7,
511,,Pansage,,50,53,48,53,48,64,316,52.67,6,
43,,Oddish,,45,50,55,75,65,30,320,53.33,7,
536,,Palpitoad,,75,65,55,65,55,69,384,64,2,5
90,,Shellder,,30,65,100,45,25,40,305,50.83,7,
289,,Slaking,,150,160,100,95,65,100,670,111.67,7,
751,,Dewpider,,38,40,52,40,72,27,269,44.83,7,
291,,Ninjask,,61,90,45,50,50,160,456,76,6,
454,,Toxicroak,,83,106,65,86,65,85,490,81.67,2,5
99,,Kingler,,55,130,115,50,50,75,475,79.17,6,
146,,Moltres,,90,100,90,125,85,90,580,96.67,6,
566,,Archen,,55,112,45,74,45,70,401,66.83,7,
362,,Glalie,,80,80,80,80,80,80,480,80,2,5
119,,Seaking,,80,92,65,65,80,68,450,75,7,
639,,Terrakion,,91,129,90,72,90,108,580,96.67,2,5
279,,Pelipper,,60,50,100,85,70,65,430,71.67,2,5
720,U,Hoopa ,Hoopa Unbound,80,160,60,170,130,80,680,113.33,7,
613,,Cubchoo,,55,70,40,60,40,40,305,50.83,6,
460,M,Abomasnow ,Mega Abomasnow,90,132,105,132,105,30,594,99,6,
615,,Cryogonal,,70,50,30,95,135,105,485,80.83,6,
469,,Yanmega,,86,76,86,116,56,95,515,85.83,7,
387,,Turtwig,,55,68,64,45,55,31,318,53,7,
396,,Starly,,40,55,30,30,30,60,245,40.83,7,
572,,Minccino,,55,50,40,40,40,75,300,50,2,5
259,,Marshtomp,,70,85,70,60,70,50,405,67.5,2,5
745,D,Lycanroc ,Dusk Form,75,117,65,55,65,110,487,81.17,7,
346,,Cradily,,86,81,97,81,107,43,495,82.5,6,
496,,Servine,,60,60,75,60,75,83,413,68.83,2,5
596,,Galvantula,,70,77,60,97,60,108,472,78.67,2,5
429,,Mismagius,,60,60,60,105,105,105,495,82.5,7,
138,,Omanyte,,35,40,100,90,55,35,355,59.17,6,
376,M,Metagross ,Mega Metagross,80,145,150,105,110,110,700,116.67,6,
350,,Milotic,,95,60,79,100,125,81,540,90,6,
248,,Tyranitar,,100,134,110,95,100,61,600,100,7,
232,,Donphan,,90,120,120,60,60,50,500,83.33,6,
