ID,Hex,Name,Pokcet,Game,Gen
101,0x0065,unknown,,,3
27,0x1B,VolcanoBadge,,,1
57,0x0039,unknown,,,3
451,0x01C3,unknown,,Colosseum,3
542,0x021E,Cologne Case,,Colosseum,3
556,0x022C,Flying Gem,Items,,5
72,0x0048,unknown,,Colosseum,3
24,0x0018,Revive,Items,Colosseum,3
885,0x0375,???,,,7
358,0x0166,TM31,,Let's Go,7
770,0x0302,Beedrillite,Items,,7
14,0x000E,Antidote,Items,,3
303,0x012F,TM15,TMs and HMs,XD,3
166,0xA6,Love Ball,Poké Balls,,2
618,0x026A,TM93,TMs and HMs,,6
144,0x0090,Wiki Berry,Berries,,3
497,0x01F1,Friend Ball,Poké Balls,,5
94,0x005E,Honey,Items,,4
342,0x0156,TM15,TMs and HMs,,5
734,0x02DE,Storage Key,Key items,"Omega Ruby, Alpha Sapphire",6
649,0x0289,Snowball,Items,,7
213,0x00D5,Bright Powder,,Let's Go,7
298,0x012A,TM10,TMs and HMs,,3
282,0x011A,Icy Rock,Items,,4
443,0x01BB,unknown,,Colosseum,3
424,0x01A8,unknown,,XD,3
23,0x17,ThunderBadge,,,1
34,0x0022,Ether,Items,XD,3
779,0x030B,Electrium Z,,Let's Go,7
168,0x00A8,Liechi Berry,Berries,XD,3
365,0x016D,TM38,TMs and HMs,,6
101,0x65,はやぶさバッヂ (FalconBadge - D),,,1
398,0x018E,TM71,,Let's Go,7
517,0x0205,Data Card 13,Items,,6
713,0x02C9,Bicycle,,Let's Go,7
342,0x0156,HM04,TMs and HMs,,3
822,0x0336,Darkinium Z,,Let's Go,7
266,0x010A,Muscle Band,Items,,4
167,0x00A7,Wepear Berry,,Let's Go,7
906,0x038A,Poison Memory,,Let's Go,7
185,0xB9,Eon Mail,Items,,2
247,0x00F7,Spell Tag,,Let's Go,7
445,0x01BD,Old Rod,,Let's Go,7
362,0x016A,VS Seeker,Key items,"FireRed, LeefGreen, Emerald",3
369,0x0171,TM42,TMs and HMs,,4
685,0x02AD,Latiosite,,Let's Go,7
156,0x009C,Hondew Berry,Berries,,3
22,0x0016,Paralyze Heal,Medicine,,6
718,0x02CE,Mach Bike,,Let's Go,7
224,0x00E0,Thick Club,Items,,3
282,0x011A,Icy Rock,,Let's Go,7
1,0x0001,Master Ball,Items,,6
476,0x01DC,Basement Key,Key items,,6
227,0x00E3,DeepSeaScale,Items,,5
448,0x01C0,Sprayduck,Key items,,7
214,0x00D6,White Herb,Items,,7
71,0x0047,Shoal Shell,Items,,4
11,0x000B,Luxury Ball,Poké Balls,,5
419,0x01A3,TM92,TMs and HMs,,6
541,0x021D,Air Balloon,Items,,7
87,0x0057,unknown,,XD,3
724,0x02D4,Pokéblock Kit,Key items,,7
258,0x0102,Thick Club,,Let's Go,7
422,0x01A6,HM03,TMs,,7
122,0x007A,unknown,,,5
223,0x00DF,Amulet Coin,Items,,5
315,0x013B,Rock Incense,Items,,7
384,0x0180,TM57,TMs,,7
848,0x0350,???,,Let's Go,7
260,0x0104,unknown,,Colosseum,3
