Name,Gen,Gen2,Description,Note,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Wacan Berry,4,,Reduces damage taken from a super effective Electric-type move.,,ソクノのみ,Sokuno no Mi,Baie Parma,Kerzalberre,Baccaparmen,Baya Gualot,초나열매,Chona Yeolmae,獨木果 / 独木果,Zhúmù Guǒ / Jūkmuhk Gwó,0
Chill Drive,5,,Makes Techno Blast an Ice-type move when held by Genesect.,,フリーズカセット,Freeze Cassette,Module Cryo,Gefriermodul,Gelomodulo,CrioROM,프리즈카세트,Freeze Cassette,冰凍卡帶 / 冰冻卡带,Bīngdòng Kǎdài / Bīngdung Kāatdáai,0
Terrain Extender,7,,"Lengthens duration of Electric Terrain, Psychic Terrain, Grassy Terrain, Misty Terrain, as well as Electric Surge, Psychic Surge, Grassy Surge, and Misty Surge from 5 turns to 8 turns when used by the holder.",,グランドコート,Ground Coat,Champ'Duit,Feldbeschichtung,Fissacampo,Cubresuelos,그라운드코트,Ground Coat,大地膜,Dàdì Mó / Daaihdeih Mohk,0
Pal Pad,4,,Used to record friends on Nintendo Wi-Fi Connection and register Friend Codes.,,ともだちてちょう,Tomodachi Techō,Registre Ami,Adressbuch,Blocco Amici,Bloc amigos,친구수첩,Chingu Sucheop,朋友手冊 / 朋友手册,Péngyǒu Shǒucè / Pàhngyáuh Sáuchaak,0
Silk Scarf,3,,Raises the power of Normal-type moves.,,シルクのスカーフ,Silk no Scarf,Mouchoir Soie,Seidenschal,Sciarpa Seta,Pañuelo Seda,실크스카프,Silk Scarf,絲綢圍巾 / 丝绸围巾,Sīchóu Wéijīn / Sīchàuh Wàihgān,160
Grepa Berry,3,,"Raises friendship, but lowers Special Defense EVs.",,ウブのみ,Ubu no Mi,Baie Resin,Labrusbeere,Baccauva,Baya Uvav,또뽀열매,Ttoppo Yeolmae,萄葡果,Táopú Guǒ / Tòuhpòuh Gwó,0
Alakazite,6,,Allows Alakazam to Mega Evolve into Mega Alakazam.,,フーディナイト,Foodinite,Alakazamite,Simsalanit,Alakazamite,Alakazamita,후디나이트,Fudinnite,胡地進化石 / 胡地进化石,Húdì Jìnhuà Shí / Wùhdeih Jeunfa Sehk,0
Gyaradosite,6,,Allows Gyarados to Mega Evolve into Mega Gyarados.,,ギャラドスナイト,Gyaradosnite,Léviatorite,Garadosnit,Gyaradosite,Gyaradosita,갸라도스나이트,Gyaradosnite,暴鯉龍進化石 / 暴鲤龙进化石,Bàolǐlóng Jìnhuà Shí / Bouhléihlùhng Jeunfa Sehk,0
Damp Rock,4,,Increases the duration of heavy rain.,,しめったいわ,Shimetta Iwa,Roche Humide,Nassbrocken,Rocciaumida,Roca Lluvia,축축한바위,Chukchukhan Bawi,潮濕岩石 / 潮湿岩石,Cháoshī Yánshí / Chìuhsāp Ngàahmsehk,0
Pikashunium Z,7,,"Allows Pikachu in a cap to upgrade Thunderbolt to the special Z-Move 10,000,000 Volt Thunderbolt.",,サトピカＺ,Satopika-Z,Pikachazélite,Ash-Pikachium Z,Ashpikacium Z,Ash-Pikastal Z,지우피카Z,Jiupika-Z,智皮卡Ｚ,Zhìpíkǎ-Z / Jipèihkā-Z,0
TM,,,,,わざマシン,Waza Machine,CT,TM,MT,MT,기술머신,Gisul Machine,招式學習器 / 招式学习器,Zhāoshì Xuéxíqì / Jīusīk Hohkjaahphei,0
Water Memory,7,,Makes Silvally a Water-type Pokémon and makes Multi-Attack a Water-type move.,,ウオーターメモリ,Water Memory,ROM Eau,Wasser-Disc,ROM Acqua,Disco Agua,워터메모리,Water Memory,"清水記憶碟*
清水存储碟","Qīngshuǐ Jìyìdié / Chīngséui Geiyīkdihp*
Qīngshuǐ Cúnchǔdié",3
Repeat Ball,3,,A type of Poké Ball that works better on Pokémon already caught before.,,リピートボール,Repeat Ball,Bis Ball,Wiederball,Bis Ball,Acopio Ball,리피드볼,Ripideu Ball,重複球 / 重复球,Chóngfù Qiú / Chùhngfūk Kàuh,0
Basement Key,3,,Allows the player to access New Mauville.,,ちかのカギ,Chika no Kagi,Clé Sous-Sol,Kelleröffner,Chiave sotterr.,Llave del Sótano,지하열쇠,Jiha Yeolsoe,地下鑰匙 / 地下钥匙,Dìxià Yàoshi / Deihhah Yeuhksìh,28
Music Mail,2,,Mail with a Natu design. Only available through Mystery Gift. To be held by a Pokémon for delivery.,,おんぷメール,Onpu Mail,Lettre Musique,Melodiebrief,Mess. Musica,Carta Música,음표메일,Eumpyo Mail,,,0
Old Rod,1,,Can be used in or next to water to initiate a battle with a low-level aquatic Pokémon.,,ボロのつりざお,Boro no Tsurizao,Canne,Angel,Amo Vecchio,Caña Vieja,낡은낚싯대,Nalgeun Naksitdae,破舊釣竿 / 破旧钓竿,Pòjiù Diàogān / Pogauh Diugōn,0
