ID,English,Japanese_Kana,Japanese_Hepburn,Japanese_Trademarked,German,French,Korean_Hangul,Korean_Revised,Korean_McCune_Reischauer,Korean_Official,Chinese_Traditional,Chinese_Simplified,Chinese_Pinyin,Chinese_Yale,Chinese_Former_Names
1,Bulbasaur,フシギダネ,Fushigidane,Fushigidane,Bisasam,Bulbizarre,이상해씨,Isanghaessi,Isanghaessi,Isanghessi,妙蛙種子,妙蛙种子,Miàowāzhǒngzǐ,Miuhwājúngjí,奇異種子 Kèihyihjúngjí (HK)
2,Ivysaur,フシギソウ,Fushigisō,Fushigisou,Bisaknosp,Herbizarre,이상해풀,Isanghaepul,Isanghaep'ul,Isanghepul,妙蛙草,妙蛙草,Miàowācǎo,Miuhwāchóu,奇異草 Kèihyihchóu (HK)
3,Venusaur,フシギバナ,Fushigibana,Fushigibana,Bisaflor,Florizarre,이상해꽃,Isanghaekkot,Isanghaekkot,Isanghekkot,妙蛙花,妙蛙花,Miàowāhuā,Miuhwāfā,奇異花 Kèihyihfā (HK)
4,Charmander,ヒトカゲ,Hitokage,Hitokage,Glumanda,Salamèche,파이리,Pairi,P'airi,Fairit,小火龍,小火龙,Xiǎohuǒlóng,Síufólùhng,-
5,Charmeleon,リザード,Rizādo,Lizardo,Glutexo,Reptincel,리자드,Rijadeu,Rijadŭ,Rizard,火恐龍,火恐龙,Huǒkǒnglóng,Fóhúnglùhng,-
6,Charizard,リザードン,Rizādon,Lizardon,Glurak,Dracaufeu,리자몽,Rijamong,Rijamong,Rizamon,噴火龍,喷火龙,Pēnhuǒlóng,Panfólùhng,-
7,Squirtle,ゼニガメ,Zenigame,Zenigame,Schiggy,Carapuce,꼬부기,Kkobugi,Kkobugi,Kkobugi,傑尼龜,杰尼龟,Jiéníguī,Gihtnèihgwāi,車厘龜 Chēléigwāi (HK)
8,Wartortle,カメール,Kamēru,Kameil,Schillok,Carabaffe,어니부기,Eonibugi,Ŏnibugi,Eonibugi,卡咪龜,卡咪龟,Kǎmīguī,Kāmāigwāi,卡美龜 Kāméihgwāi (HK)
9,Blastoise,カメックス,Kamekkusu,Kamex,Turtok,Tortank,거북왕,Geobugwang,Kŏbugwang,Geobugwang,水箭龜,水箭龟,Shuǐjiànguī,Séuijingwāi,-
10,Caterpie,キャタピー,Kyatapī,Caterpie,Raupy,Chenipan,캐터피,Kaeteopi,K'aet'ŏp'i,Caterpie,綠毛蟲,绿毛虫,Lǜmáochóng,Luhkmòuhchùhng,-
11,Metapod,トランセル,Toranseru,Transel,Safcon,Chrysacier,단데기,Dandegi,Tandegi,Tandegi,鐵甲蛹,铁甲蛹,Tiějiáyǒng,Titgaapyúng,鐵甲蟲 Titgaapchùhng (HK)
12,Butterfree,バタフリー,Batafurī,Butterfree,Smettbo,Papilusion,버터플,Beoteopeul,Pŏt'ŏp'ŭl,Butterfle,巴大蝶,巴大蝶,Bādàdié,Bādaaidihp,"巴大蝴 Bādàhú (TW/CN)
巴他蝶 Bātādihp (HK)"
13,Weedle,ビードル,Bīdoru,Beedle,Hornliu,Aspicot,뿔충이,Ppulchungi,Ppulch'ungi,Ppulchungi,獨角蟲,独角虫,Dújiǎochóng,Duhkgokchùhng,-
14,Kakuna,コクーン,Kokūn,Cocoon,Kokuna,Coconfort,딱충이,Ttakchungi,Ttakch'ungi,Ttakchungi,鐵殼蛹,铁壳蛹,Tiěkéyǒng,Tithokyúng,鐵殼昆 / 铁壳昆 Tiěkékūn (TW/CN)
15,Beedrill,スピアー,Supiā,Spear,Bibor,Dardargnan,독침붕,Dokchimbung,Tokch'imbung,Tokchimbung,大針蜂,大针蜂,Dàzhēnfēng,Daaihjāmfūng,-
16,Pidgey,ポッポ,Poppo,Poppo,Taubsi,Roucool,구구,Gugu,Kugu,Gugu,波波,波波,Bōbō,Bōbō,-
17,Pidgeotto,ピジョン,Pijon,Pigeon,Tauboga,Roucoups,피죤,Pijyon,P'ijyon,Pijon,比比鳥,比比鸟,Bǐbǐniǎo,Béibéiníuh,-
18,Pidgeot,ピジョット,Pijotto,Pigeot,Tauboss,Roucarnage,피죤투,Pijyontu,P'ijyont'u,Pijontoo,大比鳥,大比鸟,Dàbǐniǎo,Daaihbéiníuh,比鵰 / 比雕 Bǐdiāo (TW/CN)
19,Rattata,コラッタ,Koratta,Koratta,Rattfratz,Rattata,꼬렛,Kkoret,Kkoret,Koret,小拉達,小拉达,Xiǎolādá,Síulāaidaaht,小哥達 Síugōdaaht (HK)
20,Raticate,ラッタ,Ratta,Ratta,Rattikarl,Rattatac,레트라,Reteura,Ret'ŭra,Retra,拉達,拉达,Lādá,Lāaidaaht,哥達 Gōdaaht (HK)
21,Spearow,オニスズメ,Onisuzume,Onisuzume,Habitak,Piafabec,깨비참,Kkaebicham,Kkaebich'am,Kebicham,烈雀,烈雀,Lièquè,Lihtjéuk,鬼雀 Gwáijéuk (HK)
22,Fearow,オニドリル,Onidoriru,Onidrill,Ibitak,Rapasdepic,깨비드릴조,Kkaebideuriljo,Kkaebidŭrilcho,Kebidrillzo,大嘴雀,大嘴雀,Dàzuǐquè,Daaihjéuijéuk,魔雀 Mōjéuk (HK)
23,Ekans,アーボ,Ābo,Arbo,Rettan,Abo,아보,Abo,Abo,Abo,阿柏蛇,阿柏蛇,Ābóshé,Apaaksèh,-
24,Arbok,アーボック,Ābokku,Arbok,Arbok,Arbok,아보크,Abokeu,Abok'ŭ,Abok,阿柏怪,阿柏怪,Ābóguài,Apaakgwai,-
