DEF,ATK
Dark,Fighting
Ice,Fighting
Normal,Fighting
Rock,Fighting
Steel,Fighting
Bug,Flying
Fighting,Flying
Grass,Flying
Fairy,Poison
Grass,Poison
Electric,Ground
Fire,Ground
Poison,Ground
Rock,Ground
Steel,Ground
Bug,Rock
Fire,Rock
Flying,Rock
Ice,Rock
Dark,Bug
Grass,Bug
Psychic,Bug
Ghost,Ghost
Psychic,Ghost
Fairy,Steel
Ice,Steel
Rock,Steel
Bug,Fire
Grass,Fire
Ice,Fire
Steel,Fire
Fire,Water
Ground,Water
Rock,Water
Ground,Grass
Rock,Grass
Water,Grass
Flying,Electric
Water,Electric
Fighting,Psychic
Poison,Psychic
Dragon,Ice
Flying,Ice
Grass,Ice
Ground,Ice
Dragon,Dragon
Ghost,Dark
Psychic,Dark
Dark,Fairy
Dragon,Fairy
Fighting,Fairy
