Region,Family,Dex,Dex_Suffix,Name,Class
Kanto,Alolan Meowth family,52,A,Meowth,
Kanto,Mr. Mime family,122,,Mr. Mime,
Johto,Unown,201,I,Unown I,
Hoenn,Taillow family,276,,Taillow,
Kanto,Slowpoke family,80,,Slowbro,
Unova,Pidove family,519,,Pidove,
Johto,Sneasel family,215,,Sneasel,
Hoenn,Anorith family,347,,Anorith,
Kanto,Seel family,87,,Dewgong,
Hoenn,Trapinch family,329,,Vibrava,
Hoenn,Aron family,306,,Aggron,
Unova,Alomomola family,594,,Alomomola,
Kanto,Poliwag family,60,,Poliwag,
Unova,Klink family,600,,Klang,
Kanto,Alolan Rattata family,20,A,Raticate,
Unova,Deerling family,586,S,Sawsbuck,Summer Form
Alola,Grubbin family,736,,Grubbin,
Kanto,Magikarp family,129,,Magikarp,
Unova,Deino family,633,,Deino,
Kanto,Diglett family,51,,Dugtrio,
Johto,Swinub family,221,,Piloswine,
Kanto,Magmar family,467,,Magmortar,
Hoenn,Baltoy family,344,,Claydol,
Unova,Woobat family,528,,Swoobat,
Hoenn,Latios family,381,,Latios,
Hoenn,Meditite family,307,,Meditite,
Unova,Roggenrola family,526,,Gigalith,
Johto,Sentret family,161,,Sentret,
Kanto,Eeveelution family,197,,Umbreon,
Johto,Totodile family,159,,Croconaw,
Unova,Darumaka family,555,,Darmanitan,
Unova,Minccino family,573,,Cinccino,
Hoenn,Solrock family,338,,Solrock,
Kalos,Bunnelby family,660,,Diggersby,
Kalos,Fletchling family,663,,Talonflame,
Hoenn,Seedot family,275,,Shiftry,
Hoenn,Wurmple family,266,,Silcoon,
Kanto,Magmar family,126,,Magmar,
Kanto,Eeveelution family,136,,Flareon,
Alola,Guzzlord family,799,,Guzzlord,
Unova,Landorus family,645,,Landorus,
Unova,Durant family,632,,Durant,
Hoenn,Torchic family,255,,Torchic,
Kalos,Pancham family,675,,Pangoro,
Sinnoh,Starly family,398,,Staraptor,
Kanto,Caterpie family,12,,Butterfree,
Johto,Shuckle family,213,,Shuckle,
Kanto,Koffing family,109,,Koffing,
Unova,Sewaddle family,542,,Leavanny,
Kanto,Alolan Vulpix family,38,A,Ninetales,
Alola,Oricorio,741,Pa,Oricorio,Pa'u Style
Alola,Jangmo-o family,783,,Hakamo-o,
Kanto,Omanyte family,139,,Omastar,
Kanto,Bellsprout family,71,,Victreebel,
Alola,Litten family,727,,Incineroar,
Kalos,Litleo family,668,,Pyroar,
Kalos,Skrelp family,691,,Dragalge,
Hoenn,Treecko family,254,,Sceptile,
Sinnoh,Starly family,396,,Starly,
Johto,Yanma family,469,,Yanmega,
Unova,Tirtouga family,564,,Tirtouga,
Kanto,Weedle family,15,,Beedrill,
Sinnoh,Chatot family,441,,Chatot,
Kalos,Goomy family,705,,Sliggoo,
Unova,Ferroseed family,598,,Ferrothorn,
Kanto,Pinsir family,127,,Pinsir,
Johto,Unown,201,W,Unown W,
Unova,Vanillite family,583,,Vanillish,
Alola,Tapu Bulu family,787,,Tapu Bulu,
Alola,Oranguru family,765,,Oranguru,
Sinnoh,Piplup family,394,,Prinplup,
Hoenn,Clamperl family,366,,Clamperl,
Hoenn,Skitty family,300,,Skitty,
Hoenn,Mudkip family,258,,Mudkip,
Hoenn,Poochyena family,261,,Poochyena,
Kalos,Fletchling family,661,,Fletchling,
Hoenn,Nincada family,291,,Ninjask,
Hoenn,Castform family,351,,Castform,
Johto,Dunsparce family,206,,Dunsparce,
Hoenn,Mawile family,303,,Mawile,
Hoenn,Lotad family,272,,Ludicolo,
Alola,Necrozma family,800,,Necrozma,
Johto,Natu family,177,,Natu,
Kanto,Staryu family,120,,Staryu,
Johto,Yanma family,193,,Yanma,
Kanto,Pikachu family,26,A,Raichu,
Johto,Unown,201,P,Unown P,
Alola,Wimpod family,767,,Wimpod,
Johto,Chikorita family,152,,Chikorita,
Unova,Emolga family,587,,Emolga,
Alola,Mareanie family,748,,Toxapex,
Unova,Dwebble family,558,,Crustle,
Hoenn,Feebas family,350,,Milotic,
Kalos,Goomy family,706,,Goodra,
Hoenn,Bagon family,371,,Bagon,
Alola,Kartana family,798,,Kartana,
Unova,Trubbish family,569,,Garbodor,
Unova,Yamask family,563,,Cofagrigus,
Hoenn,Numel family,322,,Numel,
Alola,Nihilego family,793,,Nihilego,
Hoenn,Deoxys,386,S,Deoxys,Speed Forme
Johto,Unown,201,L,Unown L,
Hoenn,Anorith family,348,,Armaldo,
Kanto,Zubat family,42,,Golbat,
Kalos,Binacle family,688,,Binacle,
Johto,Togepi family,175,,Togepi,
Hoenn,Duskull family,477,,Dusknoir,
Johto,Pineco family,205,,Forretress,
Hoenn,Lileep family,346,,Cradily,
Unova,Vullaby family,629,,Vullaby,
Johto,Houndour family,228,,Houndour,
Hoenn,Gulpin family,316,,Gulpin,
Kanto,Drowzee family,97,,Hypno,
Kalos,Amaura family,699,,Aurorus,
Kanto,Zubat family,169,,Crobat,
Johto,Snubbull family,210,,Granbull,
Kanto,Oddish family,44,,Gloom,
Johto,Unown,201,B,Unown B,
Alola,Sandygast family,769,,Sandygast,
Kalos,Pumpkaboo family,711,,Gourgeist,
Kanto,Bellsprout family,69,,Bellsprout,
Unova,Karrablast family,588,,Karrablast,
Kanto,Chansey family,242,,Blissey,
Sinnoh,Dialga family,483,,Dialga,
Sinnoh,Manaphy* family,490,,Manaphy,
Sinnoh,Heatran family,485,,Heatran,
Unova,Cottonee family,546,,Cottonee,
Kanto,Zubat family,41,,Zubat,
Kanto,Jynx family,124,,Jynx,
Alola,Litten family,725,,Litten,
Kanto,Voltorb family,101,,Electrode,
Kanto,Nidoran family*,34,,Nidoking,
Unova,Darumaka family,554,,Darumaka,
Unova,Munna family,518,,Musharna,
Johto,Remoraid family,224,,Octillery,
Unova,Ducklett family,581,,Swanna,
Alola,Crabrawler family,740,,Crabominable,
Kanto,Eeveelution family,134,,Vaporeon,
Kanto,Eeveelution family,133,,Eevee,
Johto,Unown,201,C,Unown C,
Sinnoh,Shellos family,423,E,Gastrodon,East Sea
Kalos,Inkay family,687,,Malamar,
Kanto,Pidgey family,16,,Pidgey,
Unova,Deerling family,585,S,Deerling,Summer Form
Kalos,Froakie family,658,,Greninja,
Sinnoh,Turtwig family,387,,Turtwig,
Alola,Comfey family,764,,Comfey,
Hoenn,Barboach family,340,,Whiscash,
Kanto,Doduo family,85,,Dodrio,
Kalos,Fennekin family,654,,Braixen,
Johto,Phanpy family,231,,Phanpy,
Kalos,Noibat family,715,,Noivern,
Unova,Audino family,531,,Audino,
Kalos,Phantump family,709,,Trevenant,
Unova,Golett family,623,,Golurk,
Kanto,Eeveelution family,135,,Jolteon,
Johto,Totodile family,158,,Totodile,
Kanto,Onix family,208,,Steelix,
Johto,Hoppip family,189,,Jumpluff,
Hoenn,Gulpin family,317,,Swalot,
Sinnoh,Rotom,479,W,Rotom,Wash Rotom
Sinnoh,Chimchar family,390,,Chimchar,
Johto,Hoppip family,187,,Hoppip,
Unova,Archen family,566,,Archen,
Kalos,Skrelp family,690,,Skrelp,
Alola,Passimian family,766,,Passimian,
Alola,Cosmog family,789,,Cosmog,
Alola,Jangmo-o family,782,,Jangmo-o,
Sinnoh,Chimchar family,392,,Infernape,
Alola,Yungoos family,735,,Gumshoos,
Unova,Sandile family,551,,Sandile,
Hoenn,Wurmple family,265,,Wurmple,
Kanto,Dratini family,149,,Dragonite,
Hoenn,Spinda family,327,,Spinda,
Unova,Venipede family,544,,Whirlipede,
Kanto,Machop family,66,,Machop,
Unova,Golett family,622,,Golett,
Sinnoh,Rotom,479,R,Rotom,Frost Rotom
Alola,Oricorio,741,Po,Oricorio,Pom-Pom Style
Kalos,Fennekin family,653,,Fennekin,
Hoenn,Makuhita family,297,,Hariyama,
Kalos,Espurr family,677,,Espurr,
Alola,Cosmog family,792,,Lunala,
Kanto,Vulpix family,38,,Ninetales,
Unova,Mienfoo family,620,,Mienshao,
Kalos,Bergmite family,712,,Bergmite,
Sinnoh,Kricketot family,402,,Kricketune,
Johto,Unown,201,Z,Unown Z,
Sinnoh,Cherubi family,420,,Cherubi,
Kalos,Dedenne family,702,,Dedenne,
Johto,Marill family,184,,Azumarill,
Sinnoh,Gible family,443,,Gible,
Sinnoh,Cherubi family,421,,Cherrim,
Kalos,Swirlix family,684,,Swirlix,
Kalos,Amaura family,698,,Amaura,
Kanto,Alolan Grimer family,89,A,Muk,
Alola,Bounsweet family,761,,Bounsweet,
Alola,Popplio family,730,,Primarina,
Unova,Tirtouga family,565,,Carracosta,
Hoenn,Kecleon family,352,,Kecleon,
Kanto,Lickitung family,108,,Lickitung,
Hoenn,Spheal family,363,,Spheal,
Hoenn,Roselia family,315,,Roselia,
Kanto,Mankey family,56,,Mankey,
Kanto,Machop family,67,,Machoke,
Alola,Cosmog family,790,,Cosmoem,
Kanto,Dratini family,148,,Dragonair,
Johto,Aipom family,424,,Ambipom,
Sinnoh,Croagunk family,453,,Croagunk,
Unova,Tynamo family,604,,Eelektross,
Kalos,Clauncher family,693,,Clawitzer,
Sinnoh,Shaymin family,492,,Shaymin,Land Forme
Kanto,Mr. Mime family,439,,Mime Jr.,
Kalos,Hawlucha family,701,,Hawlucha,
Kanto,Snorlax family,446,,Munchlax,
Hoenn,Clamperl family,367,,Huntail,
Sinnoh,Finneon family,457,,Lumineon,
Unova,Tympole family,537,,Seismitoad,
Kanto,Goldeen family,118,,Goldeen,
Unova,Axew family,611,,Fraxure,
Kanto,Charmander family,4,,Charmander,
Johto,Togepi family,468,,Togekiss,
Unova,Pidove family,520,,Tranquill,
Unova,Yamask family,562,,Yamask,
Hoenn,Chimecho family,433,,Chingling,
Hoenn,Spoink family,325,,Spoink,
Johto,Mareep family,180,,Flaaffy,
Hoenn,Nosepass family,476,,Probopass,
Hoenn,Whismur family,295,,Exploud,
Unova,Tynamo family,602,,Tynamo,
Sinnoh,Giratina,487,,Giratina,Altered Forme
Unova,Oshawott family,503,,Samurott,
Unova,Tympole family,535,,Tympole,
Kanto,Rhyhorn family,111,,Rhyhorn,
Alola,Tapu Lele family,786,,Tapu Lele,
Kanto,Porygon family,474,,Porygon-Z,
Sinnoh,Cresselia family,488,,Cresselia,
Kanto,Nidoran family*,30,,Nidorina,
