Name,Gen,Description,English,Japanese Kana,Japanese Rōmaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized
Ability Capsule,VI,Allows a Pokémon with two Abilities to switch between these Abilities.,Repel,むしよけスプレー,Mushi Yoke Spray,Repousse,Schutz,Repellente,Repelente,벌레회피스프레이,Beolle Hoepi Spray,除蟲噴霧 / 除虫喷雾,Chúchóng Pēnwù / Chèuihchùhng Panmouh
Ability Urge,V,Activates the Ability of an ally Pokémon. Wonder Launcher only.,Super Repel,シルバースプレー,Silver Spray,Superepousse,Superschutz,Superrepellente*,Superrepelente*,실버스프레이,Silver Spray,白銀噴霧 / 白银喷雾,Báiyín Pēnwù / Baahkngàhn Panmouh
Abomasite,VI,Allows Abomasnow to Mega Evolve into Mega Abomasnow.,Max Repel,ゴールドスプレー,Gold Spray,Max Repousse,Top-Schutz,Repellente Max*,Repelente Maximo*,골드스프레이,Gold Spray,黃金噴霧 / 黄金喷雾,Huángjīn Pēnwù / Wòhnggām Panmouh
Absolite,VI,Allows Absol to Mega Evolve into Mega Absol.,Escape Rope,あなぬけのヒモ,Ananuke no Himo,Corde Sortie,Fluchtseil,Fune di Fuga,Cuerda Huida,동굴탈출로프,Donggul Talchul Rope,離洞繩 / 离洞绳,Lídòng Shéng / Lèihduhng Sìhng
Absorb Bulb,V,Raises the holder's Special Attack after being hit by a Water-type attack. Consumed after use.,Black Flute,くろいビードロ,Kuroi Vidro,Flûte Noire,Schw. Flöte,Flauto Nero,Flauta Negra,검정비드로,Geomjeong Vidro,黑色玻璃哨,Hēi-sè Bōlí Shào / Hāak-sīk Bōlèih Saau
Acro Bike,III,A bicycle with which the player can do tricks such as jump sideways.,White Flute,しろいビードロ,Shiroi Vidro,Flûte Blanche*,Weisse Flöte,Flauto Bianco,Flauta Blanca,하양비드로,Hayang Vidro,白色玻璃哨,Bái-sè Bōlí Shào / Baahk-sīk Bōlèih Saau
Adamant Orb,IV,Boosts Dialga's Steel- and Dragon-type attacks.,Shoal Salt,あさせのしお,Asase no Shio,Sel Trefonds,Küstensalz,Sale Ondoso,Sal Cardumen,여울소금,Yeoul Sogeum,淺灘海鹽 / 浅滩海盐,Qiǎntān Hǎiyán / Chíntāan Hóiyìhm
Adrenaline Orb,VII,"When used, makes wild Pokémon more likely to call allies for help in an SOS Battle. Is not consumed if it fails. If the holder is affected by Intimidate, its Speed is increased by one stage.",Shoal Shell,あさせのかいがら,Asase no Kaigara,CoquilleTréfonds*,Küstenschale,Gusciondoso,Concha Cardumen*,여울조개껍질,Yeoul Jogaekkeopjil,淺灘貝殼 / 浅滩贝壳,Qiǎntān Bèiké / Chíntāan Buihok
Adventure Rules,VI,Contains information new Trainers should know.,Red Shard,あかいかけら,Akai Kakera,Tesson Rouge,Purpurstück,Coccio Rosso,Parte Roja,빨강조각,Ppalgang Jogak,紅色碎片 / 红色碎片,Hóngsè Suìpiàn / Hùhngsīk Seuipin
Aerodactylite,VI,Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.,Blue Shard,あおいかけら,Aoi Kakera,Tesson Bleu,Indigostück,Coccio Blu,Parte Azul,파랑조각,Parang Jogak,藍色碎片 / 蓝色碎片,Lánsè Suìpiàn / Làahmsīk Seuipin
