ID,Hex,Name,Pokcet,Game,Gen
304,0x0130,Toxic Plate,Items pocket,,5
101,0x0065,Helix Fossil,Items pocket,,7
237,0xED,TM37,,,1
533,0x0215,Lock Capsule,Key items pocket,,6
531,0x0213,Steel Teeth,Key items pocket,Colo,3
677,0x02A5,Absolite,Items pocket,,6
450,0x01C2,Bicycle,Key items pocket,,4
751,0x02EF,Meteorite,Unknown pocket,LG,7
75,0x004B,X Attack,Items pocket,,3
610,0x0262,X Accuracy 6,Items pocket,,5
316,0x013C,Full Incense,Items pocket,,7
380,0x017C,TM53,TMs and HMs pocket,,4
360,0x0168,TM33,TMs pocket,,7
593,0x0251,X Speed 2,Items pocket,,6
382,0x017E,TM55,Unknown pocket,LG,7
399,0x018F,unknown,Unknown pocket,XD,3
365,0x016D,TM38,TMs and HMs pocket,,4
384,0x0180,TM57,TMs pocket,,7
712,0x02C8,Looker Ticket,Key items pocket,,6
47,0x002F,Iron,Medicine pocket,,4
292,0x0124,Power Band,Unknown pocket,LG,7
48,0x30,Lemonade,Items pocket,,2
227,0x00E3,unknown,Unknown pocket,XD,3
671,0x029F,Pinsirite,Items pocket,,6
773,0x0305,Key Stone,Key items pocket,,7
277,0x0115,Metronome,Items pocket,,7
753,0x02F1,Sceptilite,Unknown pocket,LG,7
132,0x0084,???,Unknown pocket,LG,7
609,0x0261,X Attack 6,Items pocket,,5
305,0x0131,Earth Plate,Items pocket,,4
69,0x0045,White Flute,Items pocket,,4
352,0x0160,TM25,TMs and HMs pocket,,5
422,0x01A6,HM03,Unknown pocket,LG,7
353,0x0161,TM26,TMs and HMs pocket,,4
139,0x008B,RSVP Mail,Items pocket,,6
43,0x002B,Berry Juice,Medicine pocket,,7
478,0x01DE,unknown,Unknown pocket,XD,3
205,0x00CD,Miracle Seed,Items pocket,,3
16,0x10,Hyper Potion,Items pocket,,2
484,0x01E4,Mystery Egg,Key items pocket,,6
938,0x03AA,Green Petal,Unknown pocket,LG,7
153,0x0099,Pomeg Berry,Berries pocket,XD,3
348,0x15C,unknown,Unknown pocket,XD,3
296,0x0128,Big Root,Items pocket,,6
304,0x0130,Toxic Plate,Items pocket,,4
837,0x0345,???,Unknown pocket,LG,7
385,0x0181,TM58,TMs and HMs pocket,,4
719,0x02CF,Acro Bike,Key items pocket,"Omega Ruby, Alpha Sapphire",6
203,0x00CB,Salac Berry,Berries pocket,,4
150,0x0096,Nanab Berry,Berries pocket,,3
843,0x034B,Professor's Mask,Key items pocket,,7
226,0x00E2,Deep Sea Tooth,Unknown pocket,LG,7
380,0x017C,TM53,TMs and HMs pocket,,5
511,0x01FF,Poké Snack,Items pocket,XD,3
86,0x0056,Repel,Items pocket,,3
522,0x020A,DNA Sample,Key items pocket,Colo,3
221,0x00DD,King's Rock,Items pocket,,4
365,0x016D,TM38,TMs and HMs pocket,,5
5,0x0005,Safari Ball,Poké Balls pocket,Colo,3
422,0x01A6,HM03,TMs and HMs pocket,,5
13,0x000D,Dusk Ball,Items pocket,,6
175,0x00AF,Enigma Berry,Berries pocket,,3
60,0x003C,X Accuracy,Items pocket,,7
56,0x0038,Dire Hit,Battle items pocket,,4
936,0x03A8,Blue Petal,Unknown pocket,LG,7
159,0x009F,Cornn Berry,Berries pocket,XD,3
609,0x0261,X Attack 6,Items pocket,,6
884,0x0374,Grassy Seed,Unknown pocket,LG,7
818,0x0332,Buginium Z,Z-Crystals pocket,,7
392,0x0188,TM65,TMs and HMs pocket,,5
352,0x0160,TM25,TMs and HMs pocket,,4
552,0x0228,Ice Gem,Unknown pocket,LG,7
844,0x034C,Festival Ticket,Items pocket,,7
213,0x00D5,Bright Powder,Items pocket,,6
796,0x031C,Gold Bottle Cap,Unknown pocket,LG,7
1047,0x0417,Kabuto Candy,Unknown pocket,LG,7
793,0x0319,Fairium Z,Z-Crystals pocket,,7
139,0x008B,RSVP Mail,Items pocket,,7
259,0x0103,Stick,Items pocket,,6
302,0x012E,TM14,TMs and HMs pocket,XD,3
927,0x039F,Solganium Z,Z-Crystals pocket,"Ultra Sun, Ultra Moon",7
1038,0x040E,Electabuzz Candy,Unknown pocket,LG,7
166,0x00A6,Durin Berry,Berries pocket,XD,3
161,0x00A1,Rabuta Berry,Berries pocket,Colo,3
385,0x0181,TM58,TMs and HMs pocket,,5
