Name,Gen,Gen2,Description,Note,NameStar,Japanese Kana,Japanese Romaji,French,German,Italian,Spanish,Korean Hangul,Korean Romanized,Chinese Hànzì,Chinese Romanized,Star
Yellow Scarf,3,,Raises the Tough condition.,,FALSE,きいろのバンダナ,Kiiro no Bandana,Foul. Jaune,Gelber Schal,Fascia Gialla,Pañuelo Amarillo,노랑밴드,Norang Band,黃色頭巾 / 黄色头巾,Huáng-sè Tóujīn / Wòhng-sīk Tàuhgān,0
Soul Dew,3,,Increases the power of Psychic-type and Dragon-type moves used by Latias and Latios by 20%. (Raises the Special Attack and Special Defense of Latias and Latios before Gen. VII).,,FALSE,こころのしずく,Kokoro no Shizuku,Rosée Âme,Seelentau,Cuorugiada,Rocío Bondad,마음의물방울,Ma-eumui Mulbang-ul,心之水滴,Xīn-zhī Shuǐdī / Sām-jī Séuidihk,0
Lunar Wing,4,,Cures an endless nightmare.,,FALSE,みかづきのはね,Mikadzuki no Hane,Lun'Aile,Lunarfeder,Ala Lunare,Pluma Lunar,초승달날개,Choseungdal Nalgae,新月之羽,Xīnyuè-zhī Yǔ / Sānyuht-jī Yúh,0
Chilan Berry,4,,Reduces damage from a Normal-type move by 50%.,,FALSE,ホズのみ,Hozu no Mi,Baie Zalis,Latchibeere,Baccacinlan,Baya Chilan,카리열매,Kari Yeolmae,燈漿果 / 燈漿果,Dēngjiāng Guǒ / Dāngjēung Gwó,0
Cell Battery,5,,Raises the holder's Attack one stage when hit with an Electric-type attack. Consumed after use.,,FALSE,じゅうでんち,Jūdenchi,Pile,Akku,Ricaripila,Pila,충전지,Chungjeonji,充電電池 / 充电电池,Chōngdiàn Diànchí / Chūngdihn Dihnchìh,0
Morph Mail,2,,Mail with a Ditto design. To be held by a Pokémon for delivery.,,FALSE,へんしんメール,Henshin Mail,Lettre Morph,Morph-Brief,Mess. Morph,Cartmorfosis,변신메일,Byeonsin Mail,,,0
Ice Heal,1,,Thaws out a frozen Pokémon.,,FALSE,こおりなおし,Kōri Naoshi,Antigel,Eisheiler,Antigelo,Antihielo,얼음상태치료제,Eoreum Sangtae Chiryoje,解凍藥 / 解冻药,Jiědòngyào / Gáaidungyeuhk,0
GS Ball,2,,Allows Celebi to be caught in Pokémon Crystal.,,FALSE,ジーエスボール,GS Ball,GS Ball,GS-Ball,GS Ball,GS Ball,GS볼,GS Ball,ＧＳ球,GS Qiú / GS Kàuh,0
Everstone,2,,A hold item that prevents the holder from evolving.,,FALSE,かわらずのいし,Kawarazu no Ishi,Pierre Stase,Ewigstein,Pietrastante,Piedra Eterna,변함없는돌,Byeonhameomneun Dol,不變之石 / 不变之石,Bùbiàn-zhī Shí / Bātbin-jī Sehk,16
BridgeMail T,5,,Stationary with a steel suspension bridge print. To be held by a Pokémon for delivery.,,FALSE,ブリッジメールＣ,Bridge Mail C,Lettre PontF,Brückbrief Z,Mess. Prop.,C. Puente A,브리지메일C,Bridge Mail C,橋梁郵件Ｃ / 桥梁邮件Ｃ,Qiáoliáng Yóujiàn C / Kìuhlèuhng Yàuhgín C,0
Vs. Seeker,3,,Used to prompt Trainers for a rematch.,,FALSE,バトルサーチャー,Battle Searcher,Cherche VS,Kampffahnder,Cercasfide,Buscapelea,배틀서처,Battle Searcher,對戰搜尋器 / 对战搜寻器,Duìzhàn Sōuxún Qì / Deuijin Sāuchàhm Hei,0
Razor Fang,4,,Raises the chance of causing an opponent to flinch. Allows Gligar to evolve at night.,,FALSE,するどいキバ,Surudoi Kiba,Croc Rasoir,Scharfzahn,Affilodente,Colmillo Agudo,예리한이빨,Yerihan Ippal,銳利之牙 / 锐利之牙,Ruìlì-zhī Yá / Yeuihleih-jī Ngàh,16
Blue Flute,3,,"Awakens sleeping Pokémon when used, can be used an unlimited number of times. May be used in battle or in the field.RSEFRLGColoXDDPPtHGSSORAS Can be sold for 7000.BWB2W2",,FALSE,あおいビードロ,Aoi Vidro,Flûte Bleue,Blaue Flöte,Flauto Blu,Flauta Azul,파랑비드로,Parang Vidro,藍色玻璃哨 / 蓝色玻璃哨,Lán-sè Bōlí Shào / Làahm-sīk Bōlèih Saau,128
Mimikium Z,7,,Allows Mimikyu to upgrade Play Rough to the special Z-Move Let's Snuggle Forever.,,FALSE,ミミッキュＺ,Mimikkyu-Z,Mimiquizélite,Mimigmium Z,Mimikyum Z,Mimikyustal Z,따라큐Z,Ttarakyu-Z,謎擬ＱＺ / 谜拟ＱＺ,Mínǐ-Q-Z / Màihyìh-Q-Z,0
Contest Pass,3,,Allows the player to enter Contests.,,FALSE,コンテストパス,Contest Pass,Passe Concours ,Wettb.-Karte,Tessera Gare,Pase Concurso,콘테스트패스,Contest Pass,華麗大賽參加證 / 华丽大赛参加证,Huálì Dàsài Cānjiā Zhèng / Wàhlaih Daaihchoi Chāamgā Jing,160
Icium Z,7,,Allows a Pokémon to upgrade their Ice-type damaging moves to the Z-Move Subzero Slammer or upgrade their Ice-type status moves into Z-Moves. Makes Arceus an Ice-type Pokémon.,,FALSE,コオリＺ,Ice-Z,Cryozélite,Glacium Z,Glacium Z,Criostal Z,얼음Z,Eol-eum-Z,冰Ｚ,Bīng-Z / Bīng-Z,0
Tyranitarite,6,,Allows Tyranitar to Mega Evolve into Mega Tyranitar.,,FALSE,バンギラスナイト,Bangirasnite,Tyranocivite,Despotarnit,Tyranitarite,Tyranitarita,마기라스나이트,Magirasnite,班基拉斯進化石 / 班基拉斯进化石,Bānjīlāsī Jìnhuà Shí / Bāangēilāaisī Jeunfa Sehk,0
Smoke Ball,3,,A held item that allows the user to flee from any wild Pokémon battle. Can be used an unlimited number of times.,,FALSE,けむりだま,Kemuri Dama,Boule Fumée,Rauchball,Palla Fumo,Bola Humo,연막탄,Yeonmaktan,煙霧球 / 烟雾球,Yānwù Qiú / Yīnmouh Kàuh,128
Shalour Sable,6,,Cures any status condition.,,FALSE,シャラサブレ,Shala Sable,Sablé Yantreizh,Yantara-Sablé,Yantafrollino,Galleta Yantra,사라사블레,Sara Sable,娑羅沙布蕾 / 娑罗沙布蕾,Suōluó Shābùlěi / Sōlòh Sāboulèuih,0
Rare Bone,4,,Can be sold for 5000.,,FALSE,きちょうなホネ,Kichōna Hone,Os Rare,Steinknochen,Osso Raro,Hueso Raro,귀중한뼈,Gwijunghan Ppyeo,貴重骨頭 / 贵重骨头,Guìzhòng Gǔtou / Gwaijuhng Gwāttàuh,0
Awakening,1,,Awakens a sleeping Pokémon.,,FALSE,ねむけざまし,Nemuke Zamashi,Reveil,Aufwecker,Sveglia,Despertar,잠깨는약,Jam Kkaeneun Yak,解眠藥 / 解眠药,Jiěmiányào / Gáaimìhnyeuhk,0
MysticTicket,3,,Allows the player to access Navel Rock and catch Lugia and Ho-Oh.,,FALSE,しんぴのチケット,Shinpi no Ticket,Ticketmystik,Geheimticket,Biglietto Magico,Misti-Ticket,,,,,0
